Region,Roads Impacted
Krachi Nchumuru,39170
Keta Municipal,23670
Kpandai,14738
Ga South,8610
Ketu South,7520
Chereponi,4759
Savelugu Nanton,3714
Kumbumgu,3425
Ada West,2570
Saboba,2410
Nanumba North,2264
Bole,2135
Kwahu Afram Plains North,2110
Krachi West,2050
Sene East,1997
Banda,1895
Ada East,1870
East Gonja,1808
Mion,1492
Mion,1492
Upper Denkyira West,1440
Lawra,1261
Krachi East,1040
West Mamprusi,1019
Birim North,990
Asuogyaman,930
Jomoro,910
Kwahu Afram Plains South,820
Kpone Katamanso,798
Nadowli / Kaleo,777
Kintampo North,736
Bongo,720
Nandom,711
South Tongu,640
Karaga,640
Asutifi North,600
Wa West,590
Gonja Central,580
Atwima Mponua,560
Yendi Municipal,541
Komenda Edna Eguafo / Abirem,520
Jirapa,493
Lower Manya,450
North Tongu,420
Nkwanta North,411
Daffiama Bussie,390
Nanumba South,383
Sefwi Bibiani / Anhwiaso Bekwai,350
Adenta,350
Atiwa,340
Ahanta West,310
Kasena Nankana East,290
Kasena Nankana East,290
Kasena Nankana East,290
Ningo Prampram,280
Kpando Municipal,250
Sawla / Tuna / Kalba,245
Tema Metropolis,220
Tamale North Sub Metro,200
Cape Coast Metro,200
Tolon,192
Central Tongu,190
West Gonja,180
Pru,170
Accra Metropolis,170
Effutu,160
Shama,150
Nzema East,147
Tarkwa Nsuaem,140
Binduri,136
Mamprugu Moagduri,131
Akatsi North,130
Zabzugu,129
Talensi,129
North Gonja,128
Kwahu South,120
Kwahu South,120
Kwahu South,120
Sekondi Takoradi,110
Ketu North,110
Upper Denkyira East,110
Bolgatanga Municipal,101
Amansie West,100
Shai Osu Doku,100
Prestea / Huni Valley,90
Twifo Ati-Morkwa,80
Wassa Amenfi Central,76
Wa Municipal,70
Adansi South,70
Mfantsiman,70
Wassa Amenfi East,64
Gomoa West,60
Bawku West,44
Aowin,40
Amansie Central,40
Garu Tempane,40
Sissala East,30
Builsa North,30
Assin North,30
Bosomtwe / Atwima / Kwanwoma,26
Wa East,20
Kasena Nankana West,20
Kasena Nankana West,20
Akatsi South,10
Fanteakwa,10
Ga West,10
Bosome Freho,4
Bosome Freho,4
Ellembelle,3
Sefwi-Wiawso,0
Juabeso,0
Bia East,0
Suaman,0
Bia West,0
Bodi,0
Sefwi Akontombra,0
Wassa East,0
Wassa Amenfi West,0
Mpohor,0
Sene West,0
Kintampo South,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Atebubu Amantin,0
Techiman North,0
Ho Municipal,0
Ho West,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
Ho West,0
Afadzato South,0
Hohoe Municipal,0
North Dayi,0
South Dayi,0
Adaklu,0
Asunafo North,0
Asunafo South,0
Asutifi South,0
Tano South,0
Tano North,0
Kadjebi,0
Nkwanta South,0
Jasikan,0
Kadjebi,0
Biakoye,0
Sissala  West,0
Lambussie Karni,0
Bunkpurugu Yonyo,0
Mamprusi East,0
Denkyembour,0
Kwaebibirem,0
Yilo Krobo,0
Akwapem North,0
Upper West Akim,0
Birim Municipal,0
Ayensuano,0
East Akim,0
Birim South,0
West Akim,0
Nsawam Adoagyiri,0
Upper Manya,0
Suhum Municipal,0
Akyem Mansa,0
Akwapem South,0
Kwahu East,0
New Juaben Municipal,0
Kwahu West,0
Sagnerigu,0
Tatale,0
Gushiegu,0
Asokore Mampong Municipal,0
Kwabre,0
Asante Akim South,0
Asante Akim North,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Asante Akim Central Municipal,0
Sekyere East,0
Offinso North,0
Ejisu Juaben,0
Adansi North,0
Obuasi Municipal,0
Sekyere Central,0
Sekyere Afram Plains North,0
Ahafo Ano North,0
Kma,0
Atwima Kwanwoma,0
Offinso Municipal,0
Ahafo Ano South,0
Ejura Sekye Dumase,0
Atwima Nwabiagya,0
Bekwai Municipal,0
Afigya Kwabre,0
Builsa South,0
Pusiga,0
Bawku Municipal,0
Nabdam,0
Ledzokuku / Krowor,0
La Nkwantanang Madina,0
Ga Central Municipal,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Assin South,0
Ajumako / Enyan / Esiam,0
Abura / Asebu / Kwamankese,0
Agona West,0
Awutu Senya West,0
Ekumfi,0
Gomoa East,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Awutu Senya West,0
Agona East,0
Awutu Senya East Municipal,0
Sunyani West,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Wenchi,0
Sunyani Municipal,0
Tain,0
