Region,Crops Impacted
Savelugu Nanton,79.32
West Mamprusi,77.98
Saboba,63.16
Kumbumgu,59.11
Mamprugu Moagduri,55.4
Chereponi,43.38
East Gonja,37.73
Tolon,24.03
Karaga,21.3
Pru,11.78
Kwahu Afram Plains North,10.52
North Gonja,10.4
Builsa South,8.02
Nanumba North,7.65
Gonja Central,7.23
Kwahu Afram Plains South,6.92
Yendi Municipal,5.44
Mion,5.41
Mion,5.41
Krachi East,5.09
Tamale North Sub Metro,4.84
Nanumba South,4.66
Kasena Nankana East,3.89
Kasena Nankana East,3.89
Kasena Nankana East,3.89
Asante Akim North,3.45
Kpandai,3.4
Nkwanta North,3.17
Tatale,2.72
Zabzugu,2.63
Sene East,2.59
Krachi Nchumuru,2.17
Talensi,1.81
Krachi West,1.54
Atwima Nwabiagya,1.44
Fanteakwa,1.23
Upper Manya,1.18
Bawku West,1.16
Sissala East,1.02
Bunkpurugu Yonyo,1.02
Sene West,0.98
Kintampo North,0.98
West Gonja,0.96
Biakoye,0.91
Kwahu South,0.89
Kwahu South,0.89
Kwahu South,0.89
Kasena Nankana West,0.65
Kasena Nankana West,0.65
Binduri,0.64
Builsa North,0.62
Mamprusi East,0.56
Ejisu Juaben,0.56
Wa East,0.53
South Tongu,0.39
Garu Tempane,0.36
Bongo,0.35
Jirapa,0.31
Bolgatanga Municipal,0.29
Nkwanta South,0.27
Bekwai Municipal,0.24
South Dayi,0.23
Lawra,0.22
Afadzato South,0.21
Bosomtwe / Atwima / Kwanwoma,0.21
North Dayi,0.15
Asuogyaman,0.15
Gushiegu,0.15
Atwima Mponua,0.1
Kpando Municipal,0.09
Nandom,0.09
Lower Manya,0.09
Amansie West,0.08
Central Tongu,0.07
Sissala  West,0.07
Wa West,0.07
Assin North,0.07
Aowin,0.06
Obuasi Municipal,0.06
Sefwi-Wiawso,0.05
Wassa Amenfi East,0.05
Nadowli / Kaleo,0.05
Lambussie Karni,0.05
Ga South,0.05
Awutu Senya West,0.05
Awutu Senya West,0.05
Asunafo North,0.04
Amansie Central,0.04
Pusiga,0.04
Nabdam,0.04
Ningo Prampram,0.04
Sefwi Bibiani / Anhwiaso Bekwai,0.03
Bodi,0.03
Kwahu East,0.03
Asante Akim Central Municipal,0.03
Kma,0.03
Upper Denkyira West,0.03
Banda,0.03
Dormaa Municipal,0.03
Wassa Amenfi Central,0.02
Wassa East,0.02
Wassa Amenfi West,0.02
Asutifi South,0.02
Wa Municipal,0.02
Sawla / Tuna / Kalba,0.02
Bole,0.02
Atwima Kwanwoma,0.02
Ahafo Ano South,0.02
Bawku Municipal,0.02
Ekumfi,0.02
Juabeso,0.01
Tarkwa Nsuaem,0.01
Ahanta West,0.01
Atebubu Amantin,0.01
North Tongu,0.01
Asunafo South,0.01
Daffiama Bussie,0.01
West Akim,0.01
Sagnerigu,0.01
Kwabre,0.01
Adansi South,0.01
Kpone Katamanso,0.01
Tema Metropolis,0.01
Accra Metropolis,0.01
Ga West,0.01
Twifo Ati-Morkwa,0.01
Mfantsiman,0.01
Effutu,0.01
Jaman North,0.01
Berekum,0.01
Bia East,0
Suaman,0
Bia West,0
Sefwi Akontombra,0
Nzema East,0
Sekondi Takoradi,0
Jomoro,0
Shama,0
Ellembelle,0
Prestea / Huni Valley,0
Mpohor,0
Kintampo South,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Techiman North,0
Ho Municipal,0
Ho West,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
Ho West,0
Akatsi North,0
Ketu South,0
Ketu North,0
Hohoe Municipal,0
Keta Municipal,0
Akatsi South,0
Adaklu,0
Asutifi North,0
Tano South,0
Tano North,0
Kadjebi,0
Jasikan,0
Kadjebi,0
Denkyembour,0
Kwaebibirem,0
Yilo Krobo,0
Akwapem North,0
Upper West Akim,0
Birim Municipal,0
Ayensuano,0
East Akim,0
Birim South,0
Atiwa,0
Nsawam Adoagyiri,0
Suhum Municipal,0
Akyem Mansa,0
Akwapem South,0
New Juaben Municipal,0
Birim North,0
Kwahu West,0
Asokore Mampong Municipal,0
Bosome Freho,0
Asante Akim South,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Bosome Freho,0
Sekyere East,0
Offinso North,0
Adansi North,0
Sekyere Central,0
Sekyere Afram Plains North,0
Ahafo Ano North,0
Offinso Municipal,0
Ejura Sekye Dumase,0
Afigya Kwabre,0
Ledzokuku / Krowor,0
Adenta,0
La Nkwantanang Madina,0
Shai Osu Doku,0
Ada West,0
Ga Central Municipal,0
Ada East,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Assin South,0
Ajumako / Enyan / Esiam,0
Abura / Asebu / Kwamankese,0
Agona West,0
Komenda Edna Eguafo / Abirem,0
Cape Coast Metro,0
Gomoa West,0
Gomoa East,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Upper Denkyira East,0
Agona East,0
Awutu Senya East Municipal,0
Sunyani West,0
Dormaa West,0
Jaman South,0
Dormaa East,0
Wenchi,0
Sunyani Municipal,0
Tain,0
