Region,Crops Impacted
West Mamprusi,131.29
Mamprugu Moagduri,115.99
Savelugu Nanton,101.91
Kumbumgu,78.41
East Gonja,74.3
Karaga,65.52
Tolon,39.54
Gonja Central,34.06
Chereponi,33.55
North Gonja,30.02
Saboba,28.71
Builsa South,19.87
Tamale North Sub Metro,16.6
Nanumba North,14.59
Mion,11.52
Mion,11.52
Kasena Nankana East,11.27
Kasena Nankana East,11.27
Kasena Nankana East,11.27
West Gonja,10.17
Talensi,7.39
Gushiegu,6.07
Kpandai,5.7
Zabzugu,5.13
Pru,4.95
Binduri,4.55
Yendi Municipal,3.7
Bunkpurugu Yonyo,3.49
Nanumba South,3.3
Lawra,2.93
Builsa North,2.85
Tatale,2.55
Sissala East,2.5
Garu Tempane,2.27
Bawku West,2.22
Mamprusi East,2.02
Kintampo North,1.7
Wa West,1.55
Nadowli / Kaleo,1.52
Jirapa,1.36
Nkwanta South,1.27
Wa East,1.21
Bawku Municipal,1.11
Kasena Nankana West,1.05
Kasena Nankana West,1.05
Bole,0.99
Bolgatanga Municipal,0.96
Nkwanta North,0.71
Bongo,0.59
Nandom,0.52
Krachi Nchumuru,0.34
Pusiga,0.3
Sene East,0.2
Sawla / Tuna / Kalba,0.2
Sene West,0.17
Nabdam,0.15
Sissala  West,0.13
Lambussie Karni,0.1
Krachi East,0.06
Wa Municipal,0.06
Sagnerigu,0.06
Daffiama Bussie,0.04
Banda,0.02
Kintampo South,0.01
Sefwi Bibiani / Anhwiaso Bekwai,0
Sefwi-Wiawso,0
Juabeso,0
Bia East,0
Suaman,0
Bia West,0
Bodi,0
Aowin,0
Sefwi Akontombra,0
Tarkwa Nsuaem,0
Nzema East,0
Wassa Amenfi Central,0
Ahanta West,0
Wassa Amenfi East,0
Wassa East,0
Sekondi Takoradi,0
Jomoro,0
Shama,0
Wassa Amenfi West,0
Ellembelle,0
Prestea / Huni Valley,0
Mpohor,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Atebubu Amantin,0
Techiman North,0
Ho Municipal,0
Ho West,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
South Tongu,0
Central Tongu,0
Ho West,0
Kpando Municipal,0
Afadzato South,0
Akatsi North,0
Ketu South,0
Ketu North,0
Hohoe Municipal,0
Keta Municipal,0
North Dayi,0
South Dayi,0
North Tongu,0
Akatsi South,0
Adaklu,0
Asunafo North,0
Asunafo South,0
Asutifi South,0
Asutifi North,0
Tano South,0
Tano North,0
Kadjebi,0
Jasikan,0
Kadjebi,0
Krachi West,0
Biakoye,0
Denkyembour,0
Kwaebibirem,0
Yilo Krobo,0
Akwapem North,0
Upper West Akim,0
Birim Municipal,0
Lower Manya,0
Kwahu Afram Plains South,0
Ayensuano,0
East Akim,0
Birim South,0
West Akim,0
Atiwa,0
Kwahu South,0
Kwahu Afram Plains North,0
Asuogyaman,0
Kwahu South,0
Fanteakwa,0
Nsawam Adoagyiri,0
Upper Manya,0
Suhum Municipal,0
Akyem Mansa,0
Akwapem South,0
Kwahu East,0
Kwahu South,0
New Juaben Municipal,0
Birim North,0
Kwahu West,0
Asokore Mampong Municipal,0
Kwabre,0
Bosome Freho,0
Asante Akim South,0
Asante Akim North,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Bosome Freho,0
Asante Akim Central Municipal,0
Sekyere East,0
Offinso North,0
Ejisu Juaben,0
Adansi North,0
Amansie Central,0
Obuasi Municipal,0
Sekyere Central,0
Sekyere Afram Plains North,0
Amansie West,0
Ahafo Ano North,0
Kma,0
Bosomtwe / Atwima / Kwanwoma,0
Atwima Kwanwoma,0
Offinso Municipal,0
Ahafo Ano South,0
Ejura Sekye Dumase,0
Adansi South,0
Atwima Mponua,0
Atwima Nwabiagya,0
Bekwai Municipal,0
Afigya Kwabre,0
Ledzokuku / Krowor,0
Adenta,0
Kpone Katamanso,0
Tema Metropolis,0
La Nkwantanang Madina,0
Shai Osu Doku,0
Ada West,0
Accra Metropolis,0
Ga Central Municipal,0
Ga South,0
Ningo Prampram,0
Ada East,0
Ga West,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Assin South,0
Ajumako / Enyan / Esiam,0
Twifo Ati-Morkwa,0
Abura / Asebu / Kwamankese,0
Agona West,0
Awutu Senya West,0
Komenda Edna Eguafo / Abirem,0
Cape Coast Metro,0
Gomoa West,0
Mfantsiman,0
Effutu,0
Ekumfi,0
Gomoa East,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Upper Denkyira East,0
Awutu Senya West,0
Assin North,0
Agona East,0
Upper Denkyira West,0
Awutu Senya East Municipal,0
Sunyani West,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Wenchi,0
Sunyani Municipal,0
Tain,0
