Region,Flooded Area Impacted
West Mamprusi,174.9
Kumbumgu,168.68
Savelugu Nanton,161.73
Saboba,104.1
Karaga,86.98
Tolon,81.41
Mamprugu Moagduri,75.69
Chereponi,70
North Gonja,44.16
Bawku West,31.83
Binduri,25.09
East Gonja,20.98
Gonja Central,20.82
Yendi Municipal,12.46
Talensi,12.39
Mamprusi East,11.38
Garu Tempane,11.15
Nkwanta North,10.59
Nanumba South,10.11
Zabzugu,9.35
Nanumba North,8.62
Kwahu Afram Plains North,6.51
Tatale,6.47
Bunkpurugu Yonyo,6.21
West Gonja,6.13
Mion,5.49
Mion,5.49
Kpandai,5.46
Kasena Nankana East,5.15
Kasena Nankana East,5.15
Kasena Nankana East,5.15
Pru,4.46
Krachi East,4.38
Kwahu Afram Plains South,3.26
Ada East,3.11
Builsa South,2.78
Sene East,2.02
Wa West,2.02
Bawku Municipal,1.73
Krachi Nchumuru,1.61
Gushiegu,1.57
Asante Akim North,1.33
Bole,1.27
Sawla / Tuna / Kalba,1.02
Kasena Nankana West,1
Kasena Nankana West,1
Krachi West,0.95
Tamale North Sub Metro,0.94
Pusiga,0.72
Nkwanta South,0.64
Biakoye,0.57
Upper Manya,0.53
Nabdam,0.45
Wa East,0.39
Sene West,0.35
Wa Municipal,0.35
Sissala East,0.33
Nadowli / Kaleo,0.3
North Dayi,0.23
Banda,0.2
Kpando Municipal,0.19
Lawra,0.19
Builsa North,0.19
Tain,0.13
North Tongu,0.12
Sissala  West,0.12
Kwahu South,0.12
Kwahu South,0.12
Kwahu South,0.12
Kintampo North,0.11
Jaman North,0.11
Jirapa,0.1
South Dayi,0.08
Nandom,0.08
Lower Manya,0.05
Fanteakwa,0.05
Asuogyaman,0.04
Daffiama Bussie,0.02
Bongo,0.02
Kpone Katamanso,0.02
Ho West,0.01
Ho West,0.01
Lambussie Karni,0.01
Agona West,0.01
Jaman South,0.01
Sefwi Bibiani / Anhwiaso Bekwai,0
Sefwi-Wiawso,0
Juabeso,0
Bia East,0
Suaman,0
Bia West,0
Bodi,0
Aowin,0
Sefwi Akontombra,0
Tarkwa Nsuaem,0
Nzema East,0
Wassa Amenfi Central,0
Ahanta West,0
Wassa Amenfi East,0
Wassa East,0
Sekondi Takoradi,0
Jomoro,0
Shama,0
Wassa Amenfi West,0
Ellembelle,0
Prestea / Huni Valley,0
Mpohor,0
Kintampo South,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Atebubu Amantin,0
Techiman North,0
Ho Municipal,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
South Tongu,0
Central Tongu,0
Afadzato South,0
Akatsi North,0
Ketu South,0
Ketu North,0
Hohoe Municipal,0
Keta Municipal,0
Akatsi South,0
Adaklu,0
Asunafo North,0
Asunafo South,0
Asutifi South,0
Asutifi North,0
Tano South,0
Tano North,0
Kadjebi,0
Jasikan,0
Kadjebi,0
Denkyembour,0
Kwaebibirem,0
Yilo Krobo,0
Akwapem North,0
Upper West Akim,0
Birim Municipal,0
Ayensuano,0
East Akim,0
Birim South,0
West Akim,0
Atiwa,0
Nsawam Adoagyiri,0
Suhum Municipal,0
Akyem Mansa,0
Akwapem South,0
Kwahu East,0
New Juaben Municipal,0
Birim North,0
Kwahu West,0
Sagnerigu,0
Asokore Mampong Municipal,0
Kwabre,0
Bosome Freho,0
Asante Akim South,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Bosome Freho,0
Asante Akim Central Municipal,0
Sekyere East,0
Offinso North,0
Ejisu Juaben,0
Adansi North,0
Amansie Central,0
Obuasi Municipal,0
Sekyere Central,0
Sekyere Afram Plains North,0
Amansie West,0
Ahafo Ano North,0
Kma,0
Bosomtwe / Atwima / Kwanwoma,0
Atwima Kwanwoma,0
Offinso Municipal,0
Ahafo Ano South,0
Ejura Sekye Dumase,0
Adansi South,0
Atwima Mponua,0
Atwima Nwabiagya,0
Bekwai Municipal,0
Afigya Kwabre,0
Bolgatanga Municipal,0
Ledzokuku / Krowor,0
Adenta,0
Tema Metropolis,0
La Nkwantanang Madina,0
Shai Osu Doku,0
Ada West,0
Accra Metropolis,0
Ga Central Municipal,0
Ga South,0
Ningo Prampram,0
Ga West,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Assin South,0
Ajumako / Enyan / Esiam,0
Twifo Ati-Morkwa,0
Abura / Asebu / Kwamankese,0
Awutu Senya West,0
Komenda Edna Eguafo / Abirem,0
Cape Coast Metro,0
Gomoa West,0
Mfantsiman,0
Effutu,0
Ekumfi,0
Gomoa East,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Upper Denkyira East,0
Awutu Senya West,0
Assin North,0
Agona East,0
Upper Denkyira West,0
Awutu Senya East Municipal,0
Sunyani West,0
Dormaa Municipal,0
Dormaa West,0
Berekum,0
Dormaa East,0
Wenchi,0
Sunyani Municipal,0
