Region,Flooded Area Impacted
Wa East,1.06
Keta Municipal,0.69
Sissala East,0.57
East Gonja,0.56
Prestea / Huni Valley,0.43
Krachi East,0.42
Sene East,0.38
Gonja Central,0.37
Aowin,0.34
Pru,0.34
Wassa East,0.31
Mamprugu Moagduri,0.29
Kpandai,0.29
Nanumba North,0.29
Kwahu Afram Plains South,0.28
Tarkwa Nsuaem,0.25
West Mamprusi,0.25
Kwahu Afram Plains North,0.24
Nzema East,0.23
Jomoro,0.21
Bole,0.21
West Gonja,0.18
Karaga,0.18
Ahanta West,0.17
Builsa South,0.16
Gomoa East,0.16
Nanumba South,0.15
Biakoye,0.14
Atiwa,0.14
Wassa Amenfi Central,0.13
South Tongu,0.13
Ga South,0.13
Shama,0.12
Sene West,0.12
Bunkpurugu Yonyo,0.12
Garu Tempane,0.12
Ekumfi,0.12
Mamprusi East,0.11
Yendi Municipal,0.11
Talensi,0.11
Nkwanta North,0.1
Sissala  West,0.1
Daffiama Bussie,0.1
Kasena Nankana East,0.1
Kasena Nankana East,0.1
Kasena Nankana East,0.1
Denkyembour,0.09
Upper Manya,0.09
Kasena Nankana West,0.09
Kasena Nankana West,0.09
Assin South,0.09
Komenda Edna Eguafo / Abirem,0.09
Wassa Amenfi East,0.08
Fanteakwa,0.08
Twifo Ati-Morkwa,0.08
Mfantsiman,0.08
Mpohor,0.07
Nkwanta South,0.07
Krachi Nchumuru,0.07
Krachi West,0.07
Jirapa,0.07
North Gonja,0.07
Tatale,0.07
Gushiegu,0.07
Gomoa West,0.07
North Tongu,0.06
Sawla / Tuna / Kalba,0.06
Kwaebibirem,0.06
Mion,0.06
Mion,0.06
Adansi South,0.06
Binduri,0.06
Bawku West,0.06
Ada East,0.06
Assin North,0.06
Wassa Amenfi West,0.05
Ellembelle,0.05
Kintampo North,0.05
Nadowli / Kaleo,0.05
Lawra,0.05
Lambussie Karni,0.05
Birim South,0.05
West Akim,0.05
Kwahu South,0.05
Kwahu South,0.05
Akyem Mansa,0.05
Kwahu South,0.05
Amansie West,0.05
Pusiga,0.05
Bolgatanga Municipal,0.05
Ajumako / Enyan / Esiam,0.05
Effutu,0.05
Chereponi,0.04
Birim Municipal,0.04
Asuogyaman,0.04
Zabzugu,0.04
Tamale North Sub Metro,0.04
Asante Akim North,0.04
Builsa North,0.04
Ga West,0.04
Abura / Asebu / Kwamankese,0.04
Sekondi Takoradi,0.03
Central Tongu,0.03
Kpando Municipal,0.03
Nandom,0.03
Wa West,0.03
Bosome Freho,0.03
Bosome Freho,0.03
Bawku Municipal,0.03
Awutu Senya West,0.03
Cape Coast Metro,0.03
Twifo Lower Denkyira,0.03
Awutu Senya West,0.03
Agona East,0.03
Juabeso,0.02
Bodi,0.02
Afadzato South,0.02
Ketu South,0.02
Hohoe Municipal,0.02
Asutifi North,0.02
Birim North,0.02
Sekyere Central,0.02
Bongo,0.02
Nabdam,0.02
Agona West,0.02
Asikuma / Odoben / Brakwa,0.02
Upper Denkyira East,0.02
Awutu Senya East Municipal,0.02
Banda,0.02
Suaman,0.01
Bia West,0.01
Sefwi Akontombra,0.01
Techiman Municipal,0.01
Nkoranza South,0.01
Atebubu Amantin,0.01
Ho Municipal,0.01
Ho West,0.01
Ho Municipal,0.01
Agotime Ziope,0.01
Ho Municipal,0.01
Ho West,0.01
Ketu North,0.01
North Dayi,0.01
Akatsi South,0.01
Asutifi South,0.01
Jasikan,0.01
Wa Municipal,0.01
Lower Manya,0.01
East Akim,0.01
Nsawam Adoagyiri,0.01
Savelugu Nanton,0.01
Tolon,0.01
Sagnerigu,0.01
Saboba,0.01
Asante Akim South,0.01
Mampong Municipal,0.01
Asante Akim Central Municipal,0.01
Ejisu Juaben,0.01
Adansi North,0.01
Amansie Central,0.01
Sekyere Afram Plains North,0.01
Ejura Sekye Dumase,0.01
Bekwai Municipal,0.01
Accra Metropolis,0.01
Ga Central Municipal,0.01
Upper Denkyira West,0.01
Sunyani West,0.01
Jaman North,0.01
Wenchi,0.01
Tain,0.01
Sefwi Bibiani / Anhwiaso Bekwai,0
Sefwi-Wiawso,0
Bia East,0
Kintampo South,0
Nkoranza North,0
Techiman North,0
Akatsi North,0
South Dayi,0
Adaklu,0
Asunafo North,0
Asunafo South,0
Tano South,0
Tano North,0
Kadjebi,0
Kadjebi,0
Yilo Krobo,0
Akwapem North,0
Upper West Akim,0
Ayensuano,0
Suhum Municipal,0
Akwapem South,0
Kwahu East,0
New Juaben Municipal,0
Kwahu West,0
Kumbumgu,0
Asokore Mampong Municipal,0
Kwabre,0
Sekyere South,0
Sekyere Kumawu,0
Sekyere East,0
Offinso North,0
Obuasi Municipal,0
Ahafo Ano North,0
Kma,0
Bosomtwe / Atwima / Kwanwoma,0
Atwima Kwanwoma,0
Offinso Municipal,0
Ahafo Ano South,0
Atwima Mponua,0
Atwima Nwabiagya,0
Afigya Kwabre,0
Ledzokuku / Krowor,0
Adenta,0
Kpone Katamanso,0
Tema Metropolis,0
La Nkwantanang Madina,0
Shai Osu Doku,0
Ada West,0
Ningo Prampram,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Berekum,0
Dormaa East,0
Sunyani Municipal,0
