Region,Flooded Area Impacted
Kwahu Afram Plains North,11.85
Kwahu Afram Plains South,10.93
Krachi East,7.09
Sene East,5.94
Savelugu Nanton,5.76
East Gonja,5.34
Keta Municipal,4.8
Ada East,4.16
Pru,3.91
South Tongu,3.71
Upper Manya,3.34
Karaga,3.05
West Mamprusi,2.85
North Tongu,2.45
Amansie West,2.21
Gonja Central,2.17
Ada West,1.96
Kpandai,1.88
Kumbumgu,1.86
Asuogyaman,1.84
Ga South,1.8
Sene West,1.69
Shai Osu Doku,1.59
Saboba,1.36
South Dayi,1.32
Afadzato South,1.28
North Dayi,1.21
Mamprugu Moagduri,1.18
Nanumba North,1.18
Lower Manya,1.15
Krachi West,1.13
Prestea / Huni Valley,1.08
Ningo Prampram,0.9
Kwahu South,0.76
Kwahu South,0.76
Kwahu South,0.76
Krachi Nchumuru,0.74
Wassa Amenfi East,0.71
Wassa Amenfi Central,0.67
Nkwanta North,0.66
Wa East,0.65
Biakoye,0.63
Chereponi,0.56
Nanumba South,0.56
Twifo Ati-Morkwa,0.56
Upper Denkyira West,0.54
Ketu South,0.53
Birim North,0.48
Asante Akim North,0.48
Fanteakwa,0.46
Builsa South,0.44
Kpando Municipal,0.43
Amansie Central,0.42
Shama,0.41
Kintampo North,0.41
Ekumfi,0.41
Central Tongu,0.33
Ahanta West,0.31
Bunkpurugu Yonyo,0.31
Atiwa,0.31
Mfantsiman,0.31
Nkwanta South,0.3
Denkyembour,0.3
Akatsi South,0.29
Komenda Edna Eguafo / Abirem,0.29
Birim Municipal,0.25
Assin North,0.25
Mion,0.23
Mion,0.23
Wassa Amenfi West,0.21
Asutifi North,0.21
Sissala East,0.21
Tatale,0.2
Yendi Municipal,0.19
Asante Akim Central Municipal,0.18
Garu Tempane,0.17
Binduri,0.16
Wassa East,0.15
Mamprusi East,0.15
North Gonja,0.15
Adansi South,0.15
Atwima Mponua,0.15
Gomoa West,0.15
Tarkwa Nsuaem,0.14
Talensi,0.14
Effutu,0.14
Gomoa East,0.13
Agotime Ziope,0.12
Adaklu,0.12
Birim South,0.12
Bawku West,0.12
Zabzugu,0.11
Bosomtwe / Atwima / Kwanwoma,0.11
Aowin,0.1
Nzema East,0.1
Akyem Mansa,0.1
Bawku Municipal,0.1
Atebubu Amantin,0.09
Gushiegu,0.09
Tamale North Sub Metro,0.09
Nabdam,0.08
Kwaebibirem,0.07
West Akim,0.07
Ejisu Juaben,0.07
Accra Metropolis,0.07
Upper Denkyira East,0.07
Kasena Nankana East,0.06
Kasena Nankana East,0.06
Pusiga,0.06
Bolgatanga Municipal,0.06
Kasena Nankana East,0.06
Awutu Senya West,0.06
Awutu Senya West,0.06
Sekondi Takoradi,0.05
Obuasi Municipal,0.05
Bekwai Municipal,0.05
Ga West,0.05
Jomoro,0.04
Akatsi North,0.04
Bole,0.04
Kpone Katamanso,0.04
Ho West,0.03
Ho West,0.03
Ketu North,0.03
Yilo Krobo,0.03
Nsawam Adoagyiri,0.03
Bosome Freho,0.03
Bosome Freho,0.03
Bongo,0.03
Ho Municipal,0.02
Ho Municipal,0.02
Ho Municipal,0.02
West Gonja,0.02
Tolon,0.02
Asante Akim South,0.02
Atwima Kwanwoma,0.02
Ahafo Ano South,0.02
Cape Coast Metro,0.02
Sefwi Akontombra,0.01
Ellembelle,0.01
Mpohor,0.01
Kadjebi,0.01
Kadjebi,0.01
East Akim,0.01
Sagnerigu,0.01
Offinso North,0.01
Adansi North,0.01
Sekyere Central,0.01
Sekyere Afram Plains North,0.01
Ledzokuku / Krowor,0.01
Tema Metropolis,0.01
Ga East,0.01
Assin South,0.01
Ajumako / Enyan / Esiam,0.01
Abura / Asebu / Kwamankese,0.01
Twifo Lower Denkyira,0.01
Banda,0.01
Sefwi Bibiani / Anhwiaso Bekwai,0
Sefwi-Wiawso,0
Juabeso,0
Bia East,0
Suaman,0
Bia West,0
Bodi,0
Kintampo South,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Techiman North,0
Hohoe Municipal,0
Asunafo North,0
Asunafo South,0
Asutifi South,0
Tano South,0
Tano North,0
Jasikan,0
Nadowli / Kaleo,0
Lawra,0
Jirapa,0
Nandom,0
Sissala  West,0
Lambussie Karni,0
Wa West,0
Daffiama Bussie,0
Wa Municipal,0
Sawla / Tuna / Kalba,0
Akwapem North,0
Upper West Akim,0
Ayensuano,0
Suhum Municipal,0
Akwapem South,0
Kwahu East,0
New Juaben Municipal,0
Kwahu West,0
Asokore Mampong Municipal,0
Kwabre,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Sekyere East,0
Ahafo Ano North,0
Kma,0
Offinso Municipal,0
Ejura Sekye Dumase,0
Atwima Nwabiagya,0
Afigya Kwabre,0
Kasena Nankana West,0
Kasena Nankana West,0
Builsa North,0
Adenta,0
La Nkwantanang Madina,0
Ga Central Municipal,0
Ashaiman,0
La Dade Kotopon,0
Agona West,0
Asikuma / Odoben / Brakwa,0
Agona East,0
Awutu Senya East Municipal,0
Sunyani West,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Wenchi,0
Sunyani Municipal,0
Tain,0
