Region,Flooded Area Impacted
East Gonja,248.96
Gonja Central,216.98
West Mamprusi,194.66
Kumbumgu,188.22
Savelugu Nanton,162.69
Mamprugu Moagduri,158.22
North Gonja,128.17
Karaga,93.11
Tolon,92.63
Nanumba North,84.76
Kpandai,75.69
Pru,57.44
Chereponi,51.92
West Gonja,48.8
Saboba,41.65
Nanumba South,38.39
Builsa South,25.7
Nkwanta North,25.51
Mion,23.37
Mion,23.37
Krachi Nchumuru,22.42
Kintampo North,19.36
Tamale North Sub Metro,18.4
Kasena Nankana East,16.7
Kasena Nankana East,16.7
Kasena Nankana East,16.7
Sene East,14.22
Bole,13.46
Zabzugu,12.94
Wa West,12.35
Talensi,12.24
Lawra,10.77
Binduri,8.59
Yendi Municipal,8.5
Nkwanta South,7.84
Gushiegu,7.65
Nadowli / Kaleo,7.41
Wa East,7.15
Bunkpurugu Yonyo,6.66
Bawku West,6.56
Sissala East,6.12
Tatale,5.8
Sene West,5.42
Nandom,5.36
Garu Tempane,5.06
Builsa North,5
Krachi East,4.99
Jirapa,4.92
Kasena Nankana West,4.85
Kasena Nankana West,4.85
Mamprusi East,4.79
Krachi West,3.44
Bawku Municipal,2.51
Bongo,2.04
Bolgatanga Municipal,1.78
Sissala  West,1.48
Sawla / Tuna / Kalba,1.37
Pusiga,1.15
Nabdam,0.86
Banda,0.82
Daffiama Bussie,0.78
Wa Municipal,0.54
Lambussie Karni,0.36
Sagnerigu,0.14
Kintampo South,0.07
Atebubu Amantin,0.02
Sefwi Bibiani / Anhwiaso Bekwai,0
Sefwi-Wiawso,0
Juabeso,0
Bia East,0
Suaman,0
Bia West,0
Bodi,0
Aowin,0
Sefwi Akontombra,0
Tarkwa Nsuaem,0
Nzema East,0
Wassa Amenfi Central,0
Ahanta West,0
Wassa Amenfi East,0
Wassa East,0
Sekondi Takoradi,0
Jomoro,0
Shama,0
Wassa Amenfi West,0
Ellembelle,0
Prestea / Huni Valley,0
Mpohor,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Techiman North,0
Ho Municipal,0
Ho West,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
South Tongu,0
Central Tongu,0
Ho West,0
Kpando Municipal,0
Afadzato South,0
Akatsi North,0
Ketu South,0
Ketu North,0
Hohoe Municipal,0
Keta Municipal,0
North Dayi,0
South Dayi,0
North Tongu,0
Akatsi South,0
Adaklu,0
Asunafo North,0
Asunafo South,0
Asutifi South,0
Asutifi North,0
Tano South,0
Tano North,0
Kadjebi,0
Jasikan,0
Kadjebi,0
Biakoye,0
Denkyembour,0
Kwaebibirem,0
Yilo Krobo,0
Akwapem North,0
Upper West Akim,0
Birim Municipal,0
Lower Manya,0
Kwahu Afram Plains South,0
Ayensuano,0
East Akim,0
Birim South,0
West Akim,0
Atiwa,0
Kwahu South,0
Kwahu Afram Plains North,0
Asuogyaman,0
Kwahu South,0
Fanteakwa,0
Nsawam Adoagyiri,0
Upper Manya,0
Suhum Municipal,0
Akyem Mansa,0
Akwapem South,0
Kwahu East,0
Kwahu South,0
New Juaben Municipal,0
Birim North,0
Kwahu West,0
Asokore Mampong Municipal,0
Kwabre,0
Bosome Freho,0
Asante Akim South,0
Asante Akim North,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Bosome Freho,0
Asante Akim Central Municipal,0
Sekyere East,0
Offinso North,0
Ejisu Juaben,0
Adansi North,0
Amansie Central,0
Obuasi Municipal,0
Sekyere Central,0
Sekyere Afram Plains North,0
Amansie West,0
Ahafo Ano North,0
Kma,0
Bosomtwe / Atwima / Kwanwoma,0
Atwima Kwanwoma,0
Offinso Municipal,0
Ahafo Ano South,0
Ejura Sekye Dumase,0
Adansi South,0
Atwima Mponua,0
Atwima Nwabiagya,0
Bekwai Municipal,0
Afigya Kwabre,0
Ledzokuku / Krowor,0
Adenta,0
Kpone Katamanso,0
Tema Metropolis,0
La Nkwantanang Madina,0
Shai Osu Doku,0
Ada West,0
Accra Metropolis,0
Ga Central Municipal,0
Ga South,0
Ningo Prampram,0
Ada East,0
Ga West,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Assin South,0
Ajumako / Enyan / Esiam,0
Twifo Ati-Morkwa,0
Abura / Asebu / Kwamankese,0
Agona West,0
Awutu Senya West,0
Komenda Edna Eguafo / Abirem,0
Cape Coast Metro,0
Gomoa West,0
Mfantsiman,0
Effutu,0
Ekumfi,0
Gomoa East,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Upper Denkyira East,0
Awutu Senya West,0
Assin North,0
Agona East,0
Upper Denkyira West,0
Awutu Senya East Municipal,0
Sunyani West,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Wenchi,0
Sunyani Municipal,0
Tain,0
