Region,Flooded Area Impacted
West Mamprusi,178.26
Kumbumgu,131.59
Savelugu Nanton,130
Gonja Central,114.3
Karaga,99.69
Saboba,96.2
North Gonja,79
Tolon,76.91
Mamprugu Moagduri,67.17
Chereponi,60.6
East Gonja,53.54
Kwahu Afram Plains South,41.2
Krachi East,40.92
Kwahu Afram Plains North,32.19
Sene East,29.88
Pru,28.32
West Gonja,27.01
Talensi,19.71
Kasena Nankana East,16.93
Kasena Nankana East,16.93
Kasena Nankana East,16.93
Kpandai,16.22
Krachi West,14.79
Nkwanta North,13.49
Krachi Nchumuru,12.1
Nanumba South,12.08
Nanumba North,11.91
Bunkpurugu Yonyo,10.57
Sene West,10
Yendi Municipal,9.66
Mamprusi East,8.66
Zabzugu,7.64
Kwahu South,5.94
Kwahu South,5.94
Kwahu South,5.94
Tatale,5.16
Builsa South,4.74
Ketu South,4.52
Asante Akim North,4.4
Gushiegu,3.79
Bawku West,3.72
Upper Manya,3.52
Mion,3.52
Mion,3.52
Nkwanta South,3.39
Fanteakwa,3.1
Kintampo North,3.08
Garu Tempane,2.98
Kasena Nankana West,2.62
Kasena Nankana West,2.62
Lawra,1.87
Biakoye,1.78
Tarkwa Nsuaem,1.5
Binduri,1.46
Builsa North,1.38
Kpando Municipal,1.19
North Dayi,1.17
South Dayi,0.82
Bole,0.79
Kwahu East,0.73
Bongo,0.67
Sissala East,0.66
Afadzato South,0.56
Bolgatanga Municipal,0.55
Aowin,0.5
Sissala  West,0.47
Lower Manya,0.46
Wa East,0.45
Nandom,0.41
Asuogyaman,0.39
Bawku Municipal,0.37
Suaman,0.33
Komenda Edna Eguafo / Abirem,0.33
Prestea / Huni Valley,0.29
Keta Municipal,0.29
Tamale North Sub Metro,0.22
Wa West,0.21
Sekyere Afram Plains North,0.19
Yilo Krobo,0.18
Pusiga,0.17
Ahanta West,0.16
Ellembelle,0.16
Nabdam,0.13
Juabeso,0.12
Bodi,0.12
Nzema East,0.1
Asunafo North,0.09
Nadowli / Kaleo,0.09
Bosomtwe / Atwima / Kwanwoma,0.09
Sagnerigu,0.08
Sawla / Tuna / Kalba,0.06
Jirapa,0.05
Amansie West,0.05
Dormaa West,0.05
Wa Municipal,0.04
Kwabre,0.04
Sekyere Central,0.04
Cape Coast Metro,0.04
Sefwi Akontombra,0.03
Wassa Amenfi Central,0.03
Wassa Amenfi East,0.03
North Tongu,0.03
Upper Denkyira West,0.03
Wassa East,0.02
Wassa Amenfi West,0.02
Asutifi South,0.02
East Akim,0.02
Atiwa,0.02
Atwima Kwanwoma,0.02
Atwima Nwabiagya,0.02
Atebubu Amantin,0.01
Asutifi North,0.01
Lambussie Karni,0.01
Daffiama Bussie,0.01
Amansie Central,0.01
Ejura Sekye Dumase,0.01
Banda,0.01
Wenchi,0.01
Sefwi Bibiani / Anhwiaso Bekwai,0
Sefwi-Wiawso,0
Bia East,0
Bia West,0
Sekondi Takoradi,0
Jomoro,0
Shama,0
Mpohor,0
Kintampo South,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Techiman North,0
Ho Municipal,0
Ho West,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
South Tongu,0
Central Tongu,0
Ho West,0
Akatsi North,0
Ketu North,0
Hohoe Municipal,0
Akatsi South,0
Adaklu,0
Asunafo South,0
Tano South,0
Tano North,0
Kadjebi,0
Jasikan,0
Kadjebi,0
Denkyembour,0
Kwaebibirem,0
Akwapem North,0
Upper West Akim,0
Birim Municipal,0
Ayensuano,0
Birim South,0
West Akim,0
Nsawam Adoagyiri,0
Suhum Municipal,0
Akyem Mansa,0
Akwapem South,0
New Juaben Municipal,0
Birim North,0
Kwahu West,0
Asokore Mampong Municipal,0
Bosome Freho,0
Asante Akim South,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Bosome Freho,0
Asante Akim Central Municipal,0
Sekyere East,0
Offinso North,0
Ejisu Juaben,0
Adansi North,0
Obuasi Municipal,0
Ahafo Ano North,0
Kma,0
Offinso Municipal,0
Ahafo Ano South,0
Adansi South,0
Atwima Mponua,0
Bekwai Municipal,0
Afigya Kwabre,0
Ledzokuku / Krowor,0
Adenta,0
Kpone Katamanso,0
Tema Metropolis,0
La Nkwantanang Madina,0
Shai Osu Doku,0
Ada West,0
Accra Metropolis,0
Ga Central Municipal,0
Ga South,0
Ningo Prampram,0
Ada East,0
Ga West,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Assin South,0
Ajumako / Enyan / Esiam,0
Twifo Ati-Morkwa,0
Abura / Asebu / Kwamankese,0
Agona West,0
Awutu Senya West,0
Gomoa West,0
Mfantsiman,0
Effutu,0
Ekumfi,0
Gomoa East,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Upper Denkyira East,0
Awutu Senya West,0
Assin North,0
Agona East,0
Awutu Senya East Municipal,0
Sunyani West,0
Dormaa Municipal,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Sunyani Municipal,0
Tain,0
