Region,02Year,05Year,10Year,15Year,20Year
Bunkpurugu Yonyo,0.0,0.25,0.66,0.96,1.73
Cape Coast Metro,0.0,0.0,0.0,0.0,0.01
Central Tongu,0.02,0.15,0.34,0.58,0.87
Chereponi,0.21,3.11,7.65,10.78,15.71
Daffiama Bussie,0.0,0.02,0.03,0.03,0.05
Denkyembour,0.0,0.01,0.07,0.09,0.12
Dormaa East,0.0,0.0,0.0,0.0,0.0
Dormaa Municipal,0.0,0.0,0.0,0.0,0.0
Dormaa West,0.0,0.0,0.0,0.0,0.0
East Akim,0.0,0.0,0.0,0.0,0.02
East Gonja,0.74,19.63,32.87,42.09,58.97
Effutu,0.01,0.17,0.2,0.21,0.23
Ejisu Juaben,0.0,0.0,0.0,0.0,0.02
Ejura Sekye Dumase,0.0,0.0,0.01,0.01,0.05
Ekumfi,0.17,0.23,0.26,0.29,0.35
Ellembelle,0.0,0.0,0.0,0.0,0.08
Fanteakwa,0.04,0.44,2.28,2.98,4.05
Ga Central Municipal,0.0,0.0,0.0,0.0,0.0
Ga East,0.0,0.0,0.0,0.0,0.0
Ga South,0.22,0.39,0.52,0.57,0.67
Ga West,0.0,0.0,0.01,0.02,0.1
Garu Tempane,0.44,0.8,0.96,1.13,2.1
Gomoa East,0.0,0.0,0.01,0.02,0.03
Gomoa West,0.0,0.01,0.03,0.03,0.05
Gonja Central,0.16,1.81,5.46,7.22,10.36
Gushiegu,0.01,0.04,0.14,0.27,0.48
Ho Municipal,0.0,0.0,0.0,0.0,0.01
Ho West,0.0,0.0,0.0,0.0,0.0
Hohoe Municipal,0.0,0.0,0.0,0.0,0.0
Jaman North,0.0,0.0,0.0,0.0,0.0
Jaman South,0.0,0.0,0.0,0.0,0.0
Jasikan,0.0,0.0,0.0,0.0,0.0
Jirapa,0.05,0.64,1.04,1.24,1.88
Jomoro,0.0,0.04,0.06,0.11,0.24
Juabeso,0.0,0.0,0.0,0.0,0.0
Kadjebi,0.0,0.0,0.0,0.0,0.0
Karaga,0.25,5.96,12.46,18.69,28.24
Kasena Nankana East,0.12,0.51,2.19,4.7,9.99
Kasena Nankana West,0.09,0.45,0.7,0.85,1.08
Keta Municipal,0.09,0.52,0.87,1.1,1.53
Ketu North,0.05,0.33,0.46,0.62,1.04
Ketu South,0.93,2.42,2.86,3.02,3.35
Kintampo North,2.28,3.12,4.74,5.72,7.56
Kintampo South,0.02,0.04,0.05,0.06,0.08
Kma,0.0,0.0,0.0,0.0,0.0
Komenda Edna Eguafo / Abirem,0.0,0.0,0.0,0.01,0.01
Kpandai,0.21,4.15,12.78,16.83,22.36
Kpando Municipal,0.02,0.03,0.08,0.12,0.18
Kpone Katamanso,0.0,0.08,0.17,0.22,0.3
Krachi East,0.19,0.71,8.58,13.17,19.16
Krachi Nchumuru,0.08,1.98,7.51,9.71,13.01
Krachi West,0.15,0.43,3.79,5.72,8.7
Kumbumgu,0.61,4.12,24.08,38.49,52.46
Kwabre,0.0,0.0,0.0,0.0,0.0
Kwaebibirem,0.0,0.0,0.01,0.02,0.04
Kwahu Afram Plains North,0.28,1.24,16.88,23.58,30.53
Kwahu Afram Plains South,0.09,0.83,7.53,11.1,15.41
Kwahu East,0.0,0.0,0.06,0.12,0.25
Kwahu South,0.02,0.22,1.19,1.73,2.33
Kwahu West,0.0,0.0,0.01,0.01,0.02
La Dade Kotopon,0.0,0.0,0.0,0.0,0.0
La Nkwantanang Madina,0.0,0.0,0.0,0.01,0.01
Lambussie Karni,0.02,0.09,0.15,0.17,0.24
Lawra,0.08,1.05,1.92,2.62,4.61
Ledzokuku / Krowor,0.0,0.0,0.0,0.0,0.0
Lower Manya,0.0,0.02,0.05,0.08,0.11
Mampong Municipal,0.0,0.0,0.0,0.0,0.0
Mamprugu Moagduri,0.41,3.04,18.9,29.48,47.09
Mamprusi East,0.08,0.15,0.21,0.26,0.61
Mfantsiman,0.02,0.04,0.05,0.05,0.06
Mion,0.0,1.1,2.38,3.24,4.79
Mpohor,0.0,0.0,0.0,0.0,0.0
Nabdam,0.0,0.0,0.02,0.03,0.06
Nadowli / Kaleo,0.0,0.42,0.99,1.44,2.69
Nandom,0.0,0.27,0.49,0.66,0.93
Nanumba North,0.09,5.27,8.57,10.16,12.09
Nanumba South,0.1,1.18,2.43,3.67,5.57
New Juaben Municipal,0.0,0.0,0.0,0.0,0.01
Ningo Prampram,0.0,0.07,0.14,0.16,0.29
Nkoranza North,0.0,0.0,0.0,0.0,0.01
Nkoranza South,0.0,0.0,0.0,0.0,0.0
Nkwanta North,0.04,0.4,2.31,3.59,5.77
Nkwanta South,0.02,0.07,0.62,0.88,1.66
North Dayi,0.06,0.06,0.12,0.17,0.26
North Gonja,0.43,1.28,4.08,6.48,11.43
North Tongu,0.01,0.11,0.34,0.51,1.03
Nsawam Adoagyiri,0.0,0.0,0.0,0.01,0.04
Nzema East,0.0,0.02,0.09,0.15,0.25
Obuasi Municipal,0.0,0.07,0.12,0.17,0.25
Offinso Municipal,0.0,0.0,0.0,0.0,0.0
Offinso North,0.0,0.0,0.0,0.0,0.0
Prestea / Huni Valley,0.0,0.1,0.17,0.21,0.29
Pru,0.65,8.68,17.77,21.96,28.83
Pusiga,0.0,0.06,0.08,0.1,0.13
Saboba,0.12,3.75,13.41,20.38,33.28
Sagnerigu,0.0,0.02,0.02,0.03,0.04
Savelugu Nanton,0.38,16.9,39.96,54.65,70.63
Sawla / Tuna / Kalba,0.01,0.07,0.14,0.22,0.46
Sefwi Akontombra,0.0,0.0,0.0,0.0,0.0
Sefwi Bibiani / Anhwiaso Bekwai,0.0,0.03,0.12,0.15,0.21
Sefwi-Wiawso,0.0,0.0,0.0,0.0,0.0
Sekondi Takoradi,0.0,0.0,0.0,0.0,0.0
Sekyere Afram Plains North,0.0,0.0,0.0,0.0,0.0
Sekyere Central,0.0,0.0,0.0,0.0,0.03
Sekyere East,0.0,0.0,0.0,0.0,0.0
Sekyere Kumawu,0.0,0.0,0.0,0.0,0.0
Sekyere South,0.0,0.0,0.0,0.0,0.0
Sene East,0.24,1.55,7.31,10.14,14.67
Sene West,0.04,0.85,1.76,2.43,3.74
Shai Osu Doku,0.01,0.33,0.49,0.62,1.27
Shama,0.0,0.03,0.03,0.04,0.05
Sissala  West,0.02,0.08,0.12,0.13,0.15
Sissala East,0.02,0.32,0.58,0.79,1.59
South Dayi,0.02,0.04,0.3,0.42,0.57
South Tongu,0.0,0.09,0.38,0.76,1.84
Suaman,0.0,0.0,0.0,0.0,0.0
Suhum Municipal,0.0,0.0,0.0,0.0,0.01
Sunyani Municipal,0.0,0.0,0.0,0.0,0.0
Sunyani West,0.0,0.0,0.0,0.0,0.0
Tain,0.0,0.0,0.0,0.0,0.01
Talensi,0.08,0.22,0.45,0.88,4.33
Tamale North Sub Metro,0.02,0.15,0.6,1.51,4.29
Tano North,0.0,0.0,0.0,0.0,0.0
Tano South,0.0,0.0,0.0,0.0,0.0
Tarkwa Nsuaem,0.0,0.08,0.22,0.3,0.38
Tatale,0.0,0.01,0.2,0.42,0.83
Techiman Municipal,0.0,0.0,0.0,0.0,0.0
Techiman North,0.0,0.0,0.0,0.0,0.0
Tema Metropolis,0.0,0.0,0.01,0.01,0.02
Tolon,0.22,1.61,7.72,13.25,21.43
Twifo Ati-Morkwa,0.0,0.03,0.05,0.06,0.08
Twifo Lower Denkyira,0.0,0.0,0.0,0.0,0.0
Upper Denkyira East,0.0,0.0,0.01,0.02,0.03
Upper Denkyira West,0.0,0.04,0.18,0.24,0.38
Upper Manya,0.1,0.28,1.51,2.03,2.72
Upper West Akim,0.0,0.0,0.0,0.0,0.0
Wa East,0.0,0.34,0.65,0.8,0.95
Wa Municipal,0.0,0.02,0.05,0.1,0.12
Wa West,0.01,0.12,0.52,0.92,1.73
Wassa Amenfi Central,0.0,0.01,0.06,0.13,0.32
Wassa Amenfi East,0.0,0.01,0.09,0.19,0.43
Wassa Amenfi West,0.0,0.0,0.04,0.07,0.19
Wassa East,0.0,0.28,0.31,0.33,0.34
Wenchi,0.0,0.0,0.0,0.0,0.01
West Akim,0.0,0.0,0.01,0.02,0.04
West Gonja,0.02,0.1,0.36,0.5,0.73
West Mamprusi,0.83,6.32,38.76,59.25,86.98
Yendi Municipal,0.06,0.61,1.83,2.76,4.51
Yilo Krobo,0.0,0.03,0.05,0.06,0.06
Zabzugu,0.01,0.11,0.29,0.54,1.1
