Region,Crops Impacted
Saboba,59.42
West Mamprusi,36.89
Chereponi,36.5
Savelugu Nanton,34.38
East Gonja,24.49
Kumbumgu,20.64
Kwahu Afram Plains North,19.69
Karaga,18.41
Pru,17.93
Mamprugu Moagduri,15.35
Kwahu Afram Plains South,12.45
Kpandai,10.95
Krachi East,10.71
Nanumba North,10.41
Gonja Central,9.11
Nanumba South,8.37
Nkwanta North,6.95
Sene East,6.83
Krachi Nchumuru,5.88
Asante Akim North,4.97
Tolon,4.4
Krachi West,4.2
Zabzugu,4.15
Yendi Municipal,3.58
Fanteakwa,3.02
Tatale,2.69
Builsa South,2.47
Talensi,2.47
Sene West,2.33
Kwahu South,2.24
Kwahu South,2.24
Kwahu South,2.24
Kintampo North,2.18
North Gonja,2.17
Upper Manya,2.06
Mion,1.89
Mion,1.89
Ada West,1.55
Biakoye,1.36
Ada East,1.15
Nkwanta South,1.08
Bawku West,1.01
West Gonja,0.95
Mamprusi East,0.94
Kasena Nankana East,0.9
Kasena Nankana East,0.9
Kasena Nankana East,0.9
Ketu South,0.77
Amansie West,0.76
Bunkpurugu Yonyo,0.73
Wa East,0.71
Lawra,0.67
Ga West,0.66
Binduri,0.59
Ketu North,0.56
Jirapa,0.52
Ga South,0.51
Nadowli / Kaleo,0.44
Kasena Nankana West,0.4
Kasena Nankana West,0.4
South Dayi,0.38
Nandom,0.37
Sissala East,0.36
Wa West,0.33
Bole,0.33
Keta Municipal,0.3
Shai Osu Doku,0.29
Atwima Mponua,0.28
Builsa North,0.27
South Tongu,0.26
Afadzato South,0.26
Tamale North Sub Metro,0.26
Kwahu East,0.24
Asuogyaman,0.23
Birim North,0.21
Tarkwa Nsuaem,0.2
Garu Tempane,0.2
Upper Denkyira West,0.2
Nsawam Adoagyiri,0.17
Sissala  West,0.16
North Dayi,0.15
Kpando Municipal,0.14
Central Tongu,0.13
Prestea / Huni Valley,0.11
North Tongu,0.11
Wa Municipal,0.11
Atwima Nwabiagya,0.1
Aowin,0.09
Sawla / Tuna / Kalba,0.09
Amansie Central,0.09
Obuasi Municipal,0.09
Berekum,0.09
Nzema East,0.08
Wassa Amenfi East,0.08
Wassa East,0.08
Lower Manya,0.08
Ningo Prampram,0.08
Ho Municipal,0.07
Ho Municipal,0.07
Ho Municipal,0.07
Wassa Amenfi Central,0.06
Asutifi North,0.06
Lambussie Karni,0.06
Bongo,0.06
Akatsi South,0.05
Gushiegu,0.05
Ekumfi,0.05
Akatsi North,0.04
Bosome Freho,0.04
Bosome Freho,0.04
Ejisu Juaben,0.04
Bawku Municipal,0.04
Jaman South,0.04
Sefwi-Wiawso,0.03
Wassa Amenfi West,0.03
Adansi South,0.03
Tain,0.03
Sefwi Bibiani / Anhwiaso Bekwai,0.02
Upper West Akim,0.02
Ayensuano,0.02
Mampong Municipal,0.02
Asante Akim Central Municipal,0.02
Kpone Katamanso,0.02
Awutu Senya West,0.02
Gomoa West,0.02
Mfantsiman,0.02
Effutu,0.02
Awutu Senya West,0.02
Assin North,0.02
Sunyani West,0.02
Bia East,0.01
Bia West,0.01
Bodi,0.01
Jomoro,0.01
Shama,0.01
Ellembelle,0.01
Adaklu,0.01
Asutifi South,0.01
Tano North,0.01
Daffiama Bussie,0.01
Yilo Krobo,0.01
Akyem Mansa,0.01
Sagnerigu,0.01
Asante Akim South,0.01
Sekyere Kumawu,0.01
Adansi North,0.01
Sekyere Afram Plains North,0.01
Atwima Kwanwoma,0.01
Pusiga,0.01
La Nkwantanang Madina,0.01
Gomoa East,0.01
Asikuma / Odoben / Brakwa,0.01
Upper Denkyira East,0.01
Agona East,0.01
Banda,0.01
Dormaa Municipal,0.01
Wenchi,0.01
Juabeso,0
Suaman,0
Sefwi Akontombra,0
Ahanta West,0
Sekondi Takoradi,0
Mpohor,0
Kintampo South,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Atebubu Amantin,0
Techiman North,0
Ho West,0
Agotime Ziope,0
Ho West,0
Hohoe Municipal,0
Asunafo North,0
Asunafo South,0
Tano South,0
Kadjebi,0
Jasikan,0
Kadjebi,0
Denkyembour,0
Kwaebibirem,0
Akwapem North,0
Birim Municipal,0
East Akim,0
Birim South,0
West Akim,0
Atiwa,0
Suhum Municipal,0
Akwapem South,0
New Juaben Municipal,0
Kwahu West,0
Asokore Mampong Municipal,0
Kwabre,0
Sekyere South,0
Sekyere East,0
Offinso North,0
Sekyere Central,0
Ahafo Ano North,0
Kma,0
Bosomtwe / Atwima / Kwanwoma,0
Offinso Municipal,0
Ahafo Ano South,0
Ejura Sekye Dumase,0
Bekwai Municipal,0
Afigya Kwabre,0
Bolgatanga Municipal,0
Nabdam,0
Ledzokuku / Krowor,0
Adenta,0
Tema Metropolis,0
Accra Metropolis,0
Ga Central Municipal,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Assin South,0
Ajumako / Enyan / Esiam,0
Twifo Ati-Morkwa,0
Abura / Asebu / Kwamankese,0
Agona West,0
Komenda Edna Eguafo / Abirem,0
Cape Coast Metro,0
Twifo Lower Denkyira,0
Awutu Senya East Municipal,0
Dormaa West,0
Jaman North,0
Dormaa East,0
Sunyani Municipal,0
