Region,Roads Impacted
Ga South,700
Gomoa East,435
Ga West,370
Kpandai,240
Awutu Senya East Municipal,220
Sagnerigu,200
Tarkwa Nsuaem,190
Bunkpurugu Yonyo,180
Birim Municipal,180
Atwima Nwabiagya,160
Ahanta West,150
Mamprugu Moagduri,150
Ajumako / Enyan / Esiam,150
Effutu,150
Aowin,140
Wassa East,140
Krachi Nchumuru,130
Wa East,130
Garu Tempane,130
Bole,120
Atiwa,120
Kasena Nankana East,120
Kasena Nankana East,120
Kasena Nankana East,120
Ga Central Municipal,120
Assin South,120
Gomoa West,115
Prestea / Huni Valley,105
Keta Municipal,90
Sissala East,90
Mion,90
Mion,90
Kasena Nankana West,90
Kasena Nankana West,90
Cape Coast Metro,90
Sunyani West,90
Wassa Amenfi West,80
Adansi South,80
Bolgatanga Municipal,80
Ga East,80
Nzema East,70
Mfantsiman,70
Bodi,60
Lambussie Karni,60
West Mamprusi,60
Mamprusi East,60
Denkyembour,60
New Juaben Municipal,60
Nabdam,60
Agona West,60
Ellembelle,50
Ketu South,50
Akyem Mansa,50
Bosome Freho,50
Bosome Freho,50
Jomoro,43
Jirapa,40
Sawla / Tuna / Kalba,40
Nsawam Adoagyiri,40
Birim North,40
Gushiegu,40
Binduri,40
Accra Metropolis,40
Assin North,40
Agona East,40
Banda,40
Hohoe Municipal,30
North Gonja,30
Kwaebibirem,30
Amansie Central,30
Kma,30
Twifo Ati-Morkwa,30
Awutu Senya West,30
Awutu Senya West,30
Shama,20
Kintampo South,20
Afadzato South,20
Nkwanta North,20
Daffiama Bussie,20
Birim South,20
Saboba,20
Ejisu Juaben,20
Pusiga,20
Upper Denkyira West,20
Tain,20
Sefwi Akontombra,10
Wassa Amenfi East,10
Asutifi South,10
Nadowli / Kaleo,10
Lawra,10
West Gonja,10
West Akim,10
Savelugu Nanton,10
Tolon,10
Tamale North Sub Metro,10
Karaga,10
Bawku West,10
Builsa North,10
Shai Osu Doku,10
Sunyani Municipal,10
Wassa Amenfi Central,5
Sefwi Bibiani / Anhwiaso Bekwai,0
Sefwi-Wiawso,0
Juabeso,0
Bia East,0
Suaman,0
Bia West,0
Sekondi Takoradi,0
Mpohor,0
Sene West,0
Techiman Municipal,0
Sene East,0
Pru,0
Nkoranza South,0
Nkoranza North,0
Atebubu Amantin,0
Techiman North,0
Kintampo North,0
Ho Municipal,0
Ho West,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
South Tongu,0
Central Tongu,0
Ho West,0
Kpando Municipal,0
Akatsi North,0
Ketu North,0
North Dayi,0
South Dayi,0
North Tongu,0
Akatsi South,0
Adaklu,0
Asunafo North,0
Asunafo South,0
Asutifi North,0
Tano South,0
Tano North,0
Kadjebi,0
Nkwanta South,0
Jasikan,0
Kadjebi,0
Krachi West,0
Biakoye,0
Krachi East,0
Nandom,0
Sissala  West,0
Wa West,0
Wa Municipal,0
Chereponi,0
East Gonja,0
Gonja Central,0
Yilo Krobo,0
Akwapem North,0
Upper West Akim,0
Lower Manya,0
Kwahu Afram Plains South,0
Ayensuano,0
East Akim,0
Kwahu South,0
Kwahu Afram Plains North,0
Asuogyaman,0
Kwahu South,0
Fanteakwa,0
Upper Manya,0
Suhum Municipal,0
Akwapem South,0
Kwahu East,0
Kwahu South,0
Kwahu West,0
Tatale,0
Nanumba South,0
Zabzugu,0
Kumbumgu,0
Nanumba North,0
Yendi Municipal,0
Asokore Mampong Municipal,0
Kwabre,0
Asante Akim South,0
Asante Akim North,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Asante Akim Central Municipal,0
Sekyere East,0
Offinso North,0
Adansi North,0
Obuasi Municipal,0
Sekyere Central,0
Sekyere Afram Plains North,0
Amansie West,0
Ahafo Ano North,0
Bosomtwe / Atwima / Kwanwoma,0
Atwima Kwanwoma,0
Offinso Municipal,0
Ahafo Ano South,0
Ejura Sekye Dumase,0
Atwima Mponua,0
Bekwai Municipal,0
Afigya Kwabre,0
Builsa South,0
Bongo,0
Bawku Municipal,0
Talensi,0
Ledzokuku / Krowor,0
Adenta,0
Kpone Katamanso,0
Tema Metropolis,0
La Nkwantanang Madina,0
Ada West,0
Ningo Prampram,0
Ada East,0
Ashaiman,0
La Dade Kotopon,0
Abura / Asebu / Kwamankese,0
Komenda Edna Eguafo / Abirem,0
Ekumfi,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Upper Denkyira East,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Wenchi,0
