Region,02Year,05Year,10Year,15Year,20Year
Chereponi,0.36,6.4,12.77,16.81,23.14
Daffiama Bussie,0.18,0.35,0.43,0.51,0.71
Denkyembour,0.0,0.07,0.28,0.4,0.62
Dormaa East,0.0,0.0,0.0,0.0,0.0
Dormaa Municipal,0.0,0.01,0.01,0.01,0.01
Dormaa West,0.0,0.0,0.0,0.0,0.0
East Akim,0.0,0.03,0.05,0.06,0.1
East Gonja,314.66,480.39,527.44,551.94,590.7
Effutu,0.04,2.01,2.71,3.15,3.79
Ejisu Juaben,0.0,0.0,0.02,0.04,0.08
Ejura Sekye Dumase,0.0,0.01,0.01,0.02,0.06
Ekumfi,1.66,3.31,4.9,5.95,7.3
Ellembelle,0.0,0.21,0.43,0.58,1.64
Fanteakwa,80.89,88.73,91.46,92.34,93.65
Ga Central Municipal,1.18,1.41,1.45,1.47,1.48
Ga East,0.0,0.0,0.0,0.0,0.0
Ga South,20.57,28.43,30.17,30.86,31.73
Ga West,0.0,0.02,0.06,0.09,0.18
Garu Tempane,0.88,1.74,2.08,2.41,3.93
Gomoa East,0.02,0.27,0.5,0.59,0.74
Gomoa West,0.92,2.08,2.64,3.15,3.65
Gonja Central,69.51,200.5,232.21,246.13,271.27
Gushiegu,0.02,0.13,0.3,0.55,0.92
Ho Municipal,0.0,0.01,0.01,0.02,0.03
Ho West,0.0,0.01,0.02,0.03,0.04
Hohoe Municipal,0.0,0.0,0.0,0.01,0.01
Jaman North,0.0,0.0,0.0,0.0,0.0
Jaman South,0.0,0.0,0.0,0.0,0.0
Jasikan,0.0,0.0,0.0,0.0,0.0
Jirapa,0.41,2.24,3.69,4.37,5.74
Jomoro,3.49,7.42,8.83,10.08,13.57
Juabeso,0.0,0.0,0.0,0.0,0.01
Kadjebi,0.0,0.0,0.0,0.0,0.0
Karaga,0.5,8.24,17.57,26.8,40.56
Kasena Nankana East,4.38,5.35,8.07,11.52,18.64
Kasena Nankana West,7.99,9.53,10.11,10.41,10.79
Keta Municipal,92.88,135.08,156.02,166.92,182.6
Ketu North,2.53,3.64,3.92,4.17,4.82
Ketu South,9.92,25.08,30.08,33.26,38.0
Kintampo North,11.38,24.87,32.84,36.69,43.31
Kintampo South,0.04,0.11,0.14,0.15,0.19
Kma,0.0,0.0,0.0,0.0,0.0
Komenda Edna Eguafo / Abirem,0.33,1.57,2.11,2.35,2.72
Kpandai,96.6,172.71,201.12,212.12,225.15
Kpando Municipal,82.08,88.9,91.91,92.77,93.58
Kpone Katamanso,0.68,2.06,2.31,2.44,2.61
Krachi East,740.54,827.3,863.18,874.82,887.93
Krachi Nchumuru,153.27,187.63,199.85,203.55,208.67
Krachi West,510.59,553.57,569.81,575.3,583.11
Kumbumgu,15.7,25.57,79.17,115.9,143.83
Kwabre,0.0,0.0,0.0,0.0,0.0
Kwaebibirem,0.0,0.0,0.08,0.14,0.26
Kwahu Afram Plains North,990.07,1096.09,1138.66,1151.38,1163.65
Kwahu Afram Plains South,406.83,511.01,539.63,549.98,561.14
Kwahu East,0.0,0.0,0.07,0.16,0.37
Kwahu South,87.11,98.67,101.29,102.35,103.47
Kwahu West,0.0,0.17,0.29,0.31,0.36
La Dade Kotopon,0.03,0.06,0.1,0.11,0.12
La Nkwantanang Madina,0.0,0.01,0.01,0.02,0.03
Lambussie Karni,0.18,0.68,0.87,0.98,1.25
Lawra,0.2,4.22,7.14,8.72,12.42
Ledzokuku / Krowor,0.01,0.04,0.06,0.07,0.1
Lower Manya,18.36,20.79,22.02,22.42,22.8
Mampong Municipal,0.0,0.0,0.0,0.0,0.0
Mamprugu Moagduri,2.3,7.49,29.14,42.68,64.41
Mamprusi East,1.77,2.33,2.67,2.88,3.53
Mfantsiman,0.15,1.33,1.82,1.99,2.25
Mion,0.33,2.41,4.87,6.47,9.31
Mpohor,0.0,0.02,0.03,0.04,0.05
Nabdam,0.04,0.11,0.19,0.25,0.4
Nadowli / Kaleo,0.78,2.5,5.21,6.91,9.77
Nandom,0.17,3.34,4.91,5.97,7.44
Nanumba North,2.65,24.47,42.24,49.81,59.18
Nanumba South,5.95,23.13,32.11,36.54,42.53
New Juaben Municipal,0.0,0.0,0.0,0.0,0.01
Ningo Prampram,2.42,5.71,7.89,9.15,11.75
Nkoranza North,0.0,0.0,0.0,0.0,0.01
Nkoranza South,0.0,0.0,0.0,0.0,0.0
Nkwanta North,20.33,52.06,61.44,64.43,68.64
Nkwanta South,31.86,41.75,45.34,46.21,48.04
North Dayi,205.51,210.21,212.24,212.94,213.57
North Gonja,4.82,10.79,23.13,32.36,49.23
North Tongu,12.63,20.53,21.78,22.56,24.53
Nsawam Adoagyiri,0.0,0.0,0.01,0.02,0.06
Nzema East,0.0,1.05,2.9,4.12,5.94
Obuasi Municipal,0.0,0.27,0.89,1.13,1.46
Offinso Municipal,0.0,0.0,0.0,0.0,0.0
Offinso North,0.0,0.0,0.0,0.0,0.0
Prestea / Huni Valley,0.0,0.91,2.88,4.11,5.86
Pru,145.17,230.07,250.45,258.05,270.11
Pusiga,0.08,0.31,0.38,0.42,0.5
Saboba,2.24,7.87,19.65,27.86,42.82
Sagnerigu,0.01,0.04,0.06,0.06,0.08
Savelugu Nanton,1.49,21.82,55.61,78.88,103.01
Sawla / Tuna / Kalba,2.31,3.03,3.51,3.83,4.82
Sefwi Akontombra,0.0,0.0,0.0,0.01,0.02
Sefwi Bibiani / Anhwiaso Bekwai,0.0,0.45,0.94,1.16,1.53
Sefwi-Wiawso,0.0,0.0,0.01,0.01,0.02
Sekondi Takoradi,0.0,0.05,0.1,0.11,0.14
Sekyere Afram Plains North,0.0,0.01,0.01,0.02,0.06
Sekyere Central,0.0,0.01,0.01,0.01,0.06
Sekyere East,0.0,0.01,0.01,0.01,0.01
Sekyere Kumawu,0.0,0.0,0.0,0.0,0.0
Sekyere South,0.0,0.0,0.0,0.0,0.01
Sene East,715.24,831.59,871.59,885.44,903.61
Sene West,116.47,155.6,167.13,171.62,178.38
Shai Osu Doku,5.42,8.45,9.4,9.97,11.65
Shama,0.73,2.46,3.11,3.52,4.26
Sissala  West,0.41,1.3,1.61,1.75,2.02
Sissala East,0.22,0.92,1.45,1.86,3.27
South Dayi,116.05,120.82,122.96,123.55,124.19
South Tongu,3.2,18.51,21.13,22.59,25.33
Suaman,0.0,0.0,0.0,0.0,0.04
Suhum Municipal,0.0,0.0,0.0,0.01,0.01
Sunyani Municipal,0.0,0.0,0.0,0.0,0.0
Sunyani West,0.0,0.0,0.0,0.0,0.0
Tain,0.0,0.05,0.07,0.07,0.09
Talensi,0.59,1.47,2.15,3.09,7.68
Tamale North Sub Metro,0.29,0.81,1.44,2.47,5.43
Tano North,0.0,0.0,0.0,0.0,0.0
Tano South,0.0,0.0,0.0,0.0,0.0
Tarkwa Nsuaem,0.0,0.8,2.65,3.54,4.87
Tatale,0.76,0.95,1.34,1.74,2.48
Techiman Municipal,0.0,0.0,0.0,0.0,0.0
Techiman North,0.0,0.0,0.0,0.0,0.0
Tema Metropolis,0.29,0.59,0.73,0.81,1.04
Tolon,3.22,7.3,21.16,33.49,49.05
Twifo Ati-Morkwa,0.0,2.66,3.41,3.73,4.16
Twifo Lower Denkyira,0.0,0.01,0.03,0.04,0.05
Upper Denkyira East,0.0,0.12,0.69,1.0,1.46
Upper Denkyira West,0.0,0.26,3.21,5.13,8.34
Upper Manya,152.95,168.66,174.55,176.24,177.99
Upper West Akim,0.0,0.0,0.0,0.0,0.01
Wa East,0.16,1.66,2.97,3.63,4.53
Wa Municipal,0.12,0.4,0.68,0.82,0.93
Wa West,3.72,4.98,6.86,9.31,14.02
Wassa Amenfi Central,0.0,0.07,1.13,2.53,5.61
Wassa Amenfi East,0.0,0.07,1.04,2.38,5.33
Wassa Amenfi West,0.0,0.19,0.78,1.33,2.48
Wassa East,0.09,5.23,6.51,7.04,7.87
Wenchi,0.0,0.01,0.01,0.02,0.03
West Akim,0.07,0.45,0.55,0.65,0.74
West Gonja,1.16,2.32,4.73,6.41,9.08
West Mamprusi,6.39,15.84,61.95,91.63,129.07
Yendi Municipal,2.67,4.16,5.97,7.3,9.88
Yilo Krobo,0.02,0.09,0.29,0.48,0.65
Zabzugu,2.88,3.96,4.58,5.19,6.31
