Region,Flooded Area Impacted
West Mamprusi,10.3
Savelugu Nanton,9.4
Karaga,8.37
Kwahu Afram Plains South,7.58
Kwahu Afram Plains North,6.39
Mamprugu Moagduri,5.69
East Gonja,3.93
Pru,3.65
Kumbumgu,3.61
Gushiegu,3.01
Amansie West,2.8
Upper Denkyira West,2.57
Ga South,2.35
Sene West,2.04
Gonja Central,1.78
Assin North,1.62
Sene East,1.53
Builsa South,1.49
Kasena Nankana East,1.42
Kasena Nankana East,1.42
Kasena Nankana East,1.42
Binduri,1.41
Kwahu South,1.26
Kwahu South,1.26
Kwahu South,1.26
Kpandai,1.14
Prestea / Huni Valley,1.04
Keta Municipal,1.03
Twifo Ati-Morkwa,1.01
Nzema East,0.99
Amansie Central,0.98
Aowin,0.97
Krachi Nchumuru,0.89
Jomoro,0.88
Bunkpurugu Yonyo,0.87
Wassa Amenfi Central,0.86
Sissala East,0.8
Wassa Amenfi East,0.77
Bole,0.75
Chereponi,0.73
Wassa Amenfi West,0.72
Adansi South,0.71
Bawku Municipal,0.71
Akatsi South,0.7
Nkwanta North,0.67
Talensi,0.64
Tarkwa Nsuaem,0.63
Atiwa,0.63
Bawku West,0.61
Mamprusi East,0.6
Upper Manya,0.6
Pusiga,0.58
Wa East,0.57
Shama,0.55
South Tongu,0.53
Wassa East,0.51
Komenda Edna Eguafo / Abirem,0.51
Tolon,0.49
Nanumba North,0.46
Garu Tempane,0.46
Nkwanta South,0.4
Ekumfi,0.4
Saboba,0.37
Fanteakwa,0.35
Upper Denkyira East,0.35
Krachi West,0.33
Sissala  West,0.29
Juabeso,0.28
Nanumba South,0.28
Kintampo North,0.27
North Gonja,0.27
Ahanta West,0.26
Atwima Mponua,0.25
Mfantsiman,0.23
Krachi East,0.21
Atebubu Amantin,0.19
Tamale North Sub Metro,0.19
Gomoa East,0.19
Builsa North,0.18
Awutu Senya West,0.17
Awutu Senya West,0.17
Yendi Municipal,0.16
Kasena Nankana West,0.16
Kasena Nankana West,0.16
Agotime Ziope,0.15
Shai Osu Doku,0.15
Sawla / Tuna / Kalba,0.13
West Gonja,0.13
Banda,0.13
Wenchi,0.13
Kwaebibirem,0.12
Mion,0.12
Mion,0.12
North Tongu,0.11
Ahafo Ano South,0.11
Nkoranza North,0.1
Central Tongu,0.1
Bodi,0.09
Ketu North,0.09
Jirapa,0.09
Kwahu West,0.09
Asante Akim Central Municipal,0.09
Gomoa West,0.09
Sefwi-Wiawso,0.08
Ho West,0.08
Ho West,0.08
Lambussie Karni,0.08
Daffiama Bussie,0.08
Kwahu East,0.08
Sekyere Central,0.08
Ada East,0.08
Ajumako / Enyan / Esiam,0.08
Ellembelle,0.07
Adaklu,0.07
Wa West,0.07
Lower Manya,0.07
Tain,0.07
Akatsi North,0.06
Birim North,0.06
Tatale,0.06
Ningo Prampram,0.06
Agona West,0.06
Effutu,0.06
Sefwi Bibiani / Anhwiaso Bekwai,0.05
Mpohor,0.05
Kintampo South,0.05
East Akim,0.05
Zabzugu,0.05
Mampong Municipal,0.05
Adansi North,0.05
Ejura Sekye Dumase,0.05
Suaman,0.04
Birim Municipal,0.04
Sagnerigu,0.04
Obuasi Municipal,0.04
Sekyere Afram Plains North,0.04
Atwima Nwabiagya,0.04
Tano South,0.03
Wa Municipal,0.03
Denkyembour,0.03
Offinso North,0.03
Offinso Municipal,0.03
Bongo,0.03
Bolgatanga Municipal,0.03
Cape Coast Metro,0.03
Asikuma / Odoben / Brakwa,0.03
Sunyani West,0.03
Dormaa Municipal,0.03
Sefwi Akontombra,0.02
Sekondi Takoradi,0.02
Ho Municipal,0.02
Ho Municipal,0.02
Ho Municipal,0.02
Ketu South,0.02
Asunafo South,0.02
Tano North,0.02
Nadowli / Kaleo,0.02
Upper West Akim,0.02
Asante Akim North,0.02
Atwima Kwanwoma,0.02
Ada West,0.02
Techiman Municipal,0.01
Nkoranza South,0.01
Afadzato South,0.01
North Dayi,0.01
South Dayi,0.01
Asutifi South,0.01
Biakoye,0.01
Yilo Krobo,0.01
Ayensuano,0.01
Birim South,0.01
West Akim,0.01
Asuogyaman,0.01
Suhum Municipal,0.01
Akyem Mansa,0.01
Akwapem South,0.01
Bosome Freho,0.01
Asante Akim South,0.01
Bosome Freho,0.01
Sekyere East,0.01
Ejisu Juaben,0.01
Ahafo Ano North,0.01
Kma,0.01
Bosomtwe / Atwima / Kwanwoma,0.01
Bekwai Municipal,0.01
Afigya Kwabre,0.01
Adenta,0.01
Kpone Katamanso,0.01
Tema Metropolis,0.01
La Nkwantanang Madina,0.01
Assin South,0.01
Twifo Lower Denkyira,0.01
Dormaa East,0.01
Bia East,0
Bia West,0
Techiman North,0
Kpando Municipal,0
Hohoe Municipal,0
Asunafo North,0
Asutifi North,0
Kadjebi,0
Jasikan,0
Kadjebi,0
Lawra,0
Nandom,0
Akwapem North,0
Nsawam Adoagyiri,0
New Juaben Municipal,0
Asokore Mampong Municipal,0
Kwabre,0
Sekyere South,0
Sekyere Kumawu,0
Nabdam,0
Ledzokuku / Krowor,0
Accra Metropolis,0
Ga Central Municipal,0
Ga West,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Abura / Asebu / Kwamankese,0
Agona East,0
Awutu Senya East Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Sunyani Municipal,0
