Region,Flooded Area Impacted
Kwahu Afram Plains South,16.84
Kwahu Afram Plains North,16.18
Sene East,14.02
Krachi East,9.13
Sene West,5.25
Upper Manya,4.56
Asuogyaman,3.74
Ada East,3.71
Ahanta West,3.28
Kumbumgu,3.13
Krachi Nchumuru,2.82
Kwahu South,2.69
Kwahu South,2.69
Kwahu South,2.69
North Tongu,2.5
Biakoye,2.48
Wa East,2.43
Krachi West,2.16
East Gonja,2.14
Ada West,1.87
South Tongu,1.85
Afadzato South,1.65
Fanteakwa,1.52
Lower Manya,1.5
Shai Osu Doku,1.46
Ekumfi,1.42
Keta Municipal,1.36
South Dayi,1.36
Gonja Central,1.31
Tolon,1.19
Wassa East,1.16
Kpando Municipal,1.1
Nkwanta North,1.09
Ga South,1.09
North Dayi,1.07
Nkwanta South,1.04
Sekondi Takoradi,1.02
Nanumba South,0.97
North Gonja,0.91
Ellembelle,0.9
Komenda Edna Eguafo / Abirem,0.89
Bawku West,0.88
Ningo Prampram,0.84
Jomoro,0.81
Central Tongu,0.77
Ketu South,0.75
Pru,0.7
Sissala East,0.7
Jirapa,0.66
Cape Coast Metro,0.64
Mfantsiman,0.63
Nanumba North,0.61
Nandom,0.59
Yendi Municipal,0.56
Kintampo North,0.55
Zabzugu,0.54
Kpandai,0.54
Asante Akim North,0.54
Lambussie Karni,0.53
Shama,0.5
Nzema East,0.49
West Mamprusi,0.46
Talensi,0.45
Mamprusi East,0.41
Bole,0.41
Binduri,0.39
Savelugu Nanton,0.38
Sissala  West,0.35
Mion,0.35
Mion,0.35
Builsa South,0.35
Tatale,0.29
Sekyere Central,0.29
West Gonja,0.28
Saboba,0.28
Atebubu Amantin,0.26
Effutu,0.21
Builsa North,0.2
Gomoa West,0.2
Sekyere Afram Plains North,0.17
Daffiama Bussie,0.16
Gomoa East,0.16
Hohoe Municipal,0.15
Bawku Municipal,0.15
West Akim,0.14
Kasena Nankana West,0.14
Kasena Nankana West,0.14
Lawra,0.12
Garu Tempane,0.12
Ho West,0.11
Ho West,0.11
Akatsi North,0.11
Akatsi South,0.11
Kwahu East,0.11
Kpone Katamanso,0.11
Suaman,0.1
Nabdam,0.1
Tema Metropolis,0.1
Juabeso,0.09
Agotime Ziope,0.09
Wa West,0.09
Wa Municipal,0.09
Twifo Ati-Morkwa,0.09
Kadjebi,0.08
Kadjebi,0.08
Mamprugu Moagduri,0.08
Banda,0.08
Ho Municipal,0.07
Ho Municipal,0.07
Ho Municipal,0.07
Adaklu,0.07
Birim Municipal,0.07
Pusiga,0.07
Bodi,0.06
Atiwa,0.06
Kasena Nankana East,0.06
Kasena Nankana East,0.06
Kasena Nankana East,0.06
Agona East,0.06
Sefwi-Wiawso,0.05
Yilo Krobo,0.05
Nkoranza North,0.04
Ketu North,0.04
Asunafo North,0.04
Asunafo South,0.04
Bunkpurugu Yonyo,0.04
Akwapem North,0.04
Mampong Municipal,0.04
Kintampo South,0.03
Denkyembour,0.03
Accra Metropolis,0.03
Ga Central Municipal,0.03
Asutifi South,0.02
Jasikan,0.02
Suhum Municipal,0.02
Tamale North Sub Metro,0.02
Adansi South,0.02
Awutu Senya East Municipal,0.02
Tain,0.02
Bia East,0.01
Bia West,0.01
Aowin,0.01
Sefwi Akontombra,0.01
Birim South,0.01
Akwapem South,0.01
New Juaben Municipal,0.01
Kwahu West,0.01
Ejura Sekye Dumase,0.01
Bongo,0.01
Bolgatanga Municipal,0.01
Ledzokuku / Krowor,0.01
Adenta,0.01
La Dade Kotopon,0.01
Abura / Asebu / Kwamankese,0.01
Sunyani West,0.01
Tarkwa Nsuaem,0
Wassa Amenfi Central,0
Wassa Amenfi East,0
Wassa Amenfi West,0
Prestea / Huni Valley,0
Mpohor,0
Techiman Municipal,0
Nkoranza South,0
Techiman North,0
Asutifi North,0
Tano South,0
Tano North,0
Chereponi,0
Kwaebibirem,0
Upper West Akim,0
Ayensuano,0
East Akim,0
Nsawam Adoagyiri,0
Akyem Mansa,0
Birim North,0
Sagnerigu,0
Gushiegu,0
Karaga,0
Asokore Mampong Municipal,0
Kwabre,0
Bosome Freho,0
Asante Akim South,0
Bosome Freho,0
Asante Akim Central Municipal,0
Sekyere East,0
Offinso North,0
Ejisu Juaben,0
Adansi North,0
Amansie Central,0
Amansie West,0
Ahafo Ano North,0
Kma,0
Atwima Kwanwoma,0
Offinso Municipal,0
Ahafo Ano South,0
Atwima Mponua,0
Atwima Nwabiagya,0
Bekwai Municipal,0
Afigya Kwabre,0
La Nkwantanang Madina,0
Ga West,0
Ashaiman,0
Ga East,0
Assin South,0
Agona West,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Upper Denkyira East,0
Assin North,0
Upper Denkyira West,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Wenchi,0
Sunyani Municipal,0
