Region,Roads Impacted
Chereponi,30234
Krachi Nchumuru,27763
Saboba,19628
West Mamprusi,16049
Kumbumgu,11391
Savelugu Nanton,9117
Kpandai,8350
Gonja Central,4859
Karaga,2990
Nanumba North,2272
North Gonja,2061
Mion,2024
Mion,2024
Yendi Municipal,1825
Tolon,1724
Ahafo Ano South,1490
Upper Denkyira West,1470
Kasena Nankana East,1429
Kasena Nankana East,1429
Kasena Nankana East,1429
Sekyere East,1220
Kwahu Afram Plains South,1190
Zabzugu,1175
Sene East,907
Krachi West,820
West Gonja,789
Adansi South,780
Kwahu Afram Plains North,770
Ketu South,760
Ga South,740
Garu Tempane,730
East Gonja,724
Krachi East,680
Kwahu West,630
Obuasi Municipal,600
Kwahu East,590
Ejisu Juaben,520
Nandom,451
Sekyere South,400
Komenda Edna Eguafo / Abirem,370
Bongo,320
Wassa Amenfi East,310
Kintampo North,297
Wa West,290
Bunkpurugu Yonyo,280
Lawra,216
Kwahu South,210
Kwahu South,210
Kwahu South,210
Dormaa Municipal,160
Fanteakwa,150
Bawku Municipal,146
Mamprugu Moagduri,140
Bole,139
Shama,130
Afigya Kwabre,130
Nkwanta North,122
Jirapa,110
Gomoa East,110
Tatale,108
Nanumba South,108
Amansie West,100
Builsa South,100
East Akim,90
Mfantsiman,90
Aowin,80
Kpando Municipal,80
North Dayi,70
Sekyere Kumawu,70
Awutu Senya West,70
Awutu Senya West,70
New Juaben Municipal,60
Sekyere Central,60
Asante Akim North,50
Abura / Asebu / Kwamankese,50
Prestea / Huni Valley,40
Pru,40
Afadzato South,40
Wa East,40
Sawla / Tuna / Kalba,30
Binduri,30
Talensi,22
Bolgatanga Municipal,21
Upper Manya,20
Offinso Municipal,20
Assin South,20
Wassa Amenfi Central,10
Sefwi Bibiani / Anhwiaso Bekwai,0
Sefwi-Wiawso,0
Juabeso,0
Bia East,0
Suaman,0
Bia West,0
Bodi,0
Sefwi Akontombra,0
Tarkwa Nsuaem,0
Nzema East,0
Ahanta West,0
Wassa East,0
Sekondi Takoradi,0
Jomoro,0
Wassa Amenfi West,0
Ellembelle,0
Mpohor,0
Sene West,0
Kintampo South,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Atebubu Amantin,0
Techiman North,0
Ho Municipal,0
Ho West,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
South Tongu,0
Central Tongu,0
Ho West,0
Akatsi North,0
Ketu North,0
Hohoe Municipal,0
Keta Municipal,0
South Dayi,0
North Tongu,0
Akatsi South,0
Adaklu,0
Asunafo North,0
Asunafo South,0
Asutifi South,0
Asutifi North,0
Tano South,0
Tano North,0
Kadjebi,0
Nkwanta South,0
Jasikan,0
Kadjebi,0
Biakoye,0
Nadowli / Kaleo,0
Sissala East,0
Sissala  West,0
Lambussie Karni,0
Daffiama Bussie,0
Wa Municipal,0
Mamprusi East,0
Denkyembour,0
Kwaebibirem,0
Yilo Krobo,0
Akwapem North,0
Upper West Akim,0
Birim Municipal,0
Lower Manya,0
Ayensuano,0
Birim South,0
West Akim,0
Atiwa,0
Asuogyaman,0
Nsawam Adoagyiri,0
Suhum Municipal,0
Akyem Mansa,0
Akwapem South,0
Birim North,0
Sagnerigu,0
Gushiegu,0
Tamale North Sub Metro,0
Asokore Mampong Municipal,0
Kwabre,0
Bosome Freho,0
Asante Akim South,0
Mampong Municipal,0
Bosome Freho,0
Asante Akim Central Municipal,0
Offinso North,0
Adansi North,0
Amansie Central,0
Sekyere Afram Plains North,0
Ahafo Ano North,0
Kma,0
Bosomtwe / Atwima / Kwanwoma,0
Atwima Kwanwoma,0
Ejura Sekye Dumase,0
Atwima Mponua,0
Atwima Nwabiagya,0
Bekwai Municipal,0
Kasena Nankana West,0
Kasena Nankana West,0
Bawku West,0
Pusiga,0
Nabdam,0
Builsa North,0
Ledzokuku / Krowor,0
Adenta,0
Kpone Katamanso,0
Tema Metropolis,0
La Nkwantanang Madina,0
Shai Osu Doku,0
Ada West,0
Accra Metropolis,0
Ga Central Municipal,0
Ningo Prampram,0
Ada East,0
Ga West,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Ajumako / Enyan / Esiam,0
Twifo Ati-Morkwa,0
Agona West,0
Cape Coast Metro,0
Gomoa West,0
Effutu,0
Ekumfi,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Upper Denkyira East,0
Assin North,0
Agona East,0
Awutu Senya East Municipal,0
Banda,0
Sunyani West,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Wenchi,0
Sunyani Municipal,0
Tain,0
