Region,Roads Impacted
West Mamprusi,38947
Chereponi,25746
Saboba,15756
Karaga,11440
Binduri,4230
Kasena Nankana East,3515
Kasena Nankana East,3515
Kasena Nankana East,3515
Bawku West,1480
Savelugu Nanton,1240
Bolgatanga Municipal,1208
Bunkpurugu Yonyo,1091
Sekondi Takoradi,1070
Garu Tempane,1070
Ga South,870
Krachi Nchumuru,690
Bongo,641
Talensi,595
Ketu South,570
Zabzugu,560
Shama,530
Adansi South,510
Mamprusi East,439
Builsa South,430
Kpandai,410
Gushiegu,360
Kumbumgu,314
Bawku Municipal,281
Krachi East,250
Tatale,240
Sissala East,220
Pusiga,212
Atiwa,210
Nzema East,200
Ada East,200
Effutu,200
Jomoro,180
Nanumba South,180
Wassa East,170
Gonja Central,160
Ahanta West,150
Kasena Nankana West,150
Kasena Nankana West,150
Yendi Municipal,130
Keta Municipal,120
Fanteakwa,120
Shai Osu Doku,110
Cape Coast Metro,107
Mamprugu Moagduri,101
Komenda Edna Eguafo / Abirem,93
Aowin,80
Kintampo North,80
Builsa North,80
South Tongu,70
Prestea / Huni Valley,50
Kwahu Afram Plains South,50
Atwima Mponua,40
Ada West,30
Nanumba North,10
Sefwi Bibiani / Anhwiaso Bekwai,0
Sefwi-Wiawso,0
Juabeso,0
Bia East,0
Suaman,0
Bia West,0
Bodi,0
Sefwi Akontombra,0
Tarkwa Nsuaem,0
Wassa Amenfi Central,0
Wassa Amenfi East,0
Wassa Amenfi West,0
Ellembelle,0
Mpohor,0
Sene West,0
Kintampo South,0
Techiman Municipal,0
Sene East,0
Pru,0
Nkoranza South,0
Nkoranza North,0
Atebubu Amantin,0
Techiman North,0
Ho Municipal,0
Ho West,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
Central Tongu,0
Ho West,0
Kpando Municipal,0
Afadzato South,0
Akatsi North,0
Ketu North,0
Hohoe Municipal,0
North Dayi,0
South Dayi,0
North Tongu,0
Akatsi South,0
Adaklu,0
Asunafo North,0
Asunafo South,0
Asutifi South,0
Asutifi North,0
Tano South,0
Tano North,0
Kadjebi,0
Nkwanta South,0
Nkwanta North,0
Jasikan,0
Kadjebi,0
Krachi West,0
Biakoye,0
Nadowli / Kaleo,0
Lawra,0
Jirapa,0
Nandom,0
Sissala  West,0
Lambussie Karni,0
Wa West,0
Wa East,0
Daffiama Bussie,0
Wa Municipal,0
East Gonja,0
Sawla / Tuna / Kalba,0
Bole,0
West Gonja,0
North Gonja,0
Denkyembour,0
Kwaebibirem,0
Yilo Krobo,0
Akwapem North,0
Upper West Akim,0
Birim Municipal,0
Lower Manya,0
Ayensuano,0
East Akim,0
Birim South,0
West Akim,0
Kwahu South,0
Kwahu Afram Plains North,0
Asuogyaman,0
Kwahu South,0
Nsawam Adoagyiri,0
Upper Manya,0
Suhum Municipal,0
Akyem Mansa,0
Akwapem South,0
Kwahu East,0
Kwahu South,0
New Juaben Municipal,0
Birim North,0
Kwahu West,0
Tolon,0
Sagnerigu,0
Mion,0
Tamale North Sub Metro,0
Mion,0
Asokore Mampong Municipal,0
Kwabre,0
Bosome Freho,0
Asante Akim South,0
Asante Akim North,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Bosome Freho,0
Asante Akim Central Municipal,0
Sekyere East,0
Offinso North,0
Ejisu Juaben,0
Adansi North,0
Amansie Central,0
Obuasi Municipal,0
Sekyere Central,0
Sekyere Afram Plains North,0
Amansie West,0
Ahafo Ano North,0
Kma,0
Bosomtwe / Atwima / Kwanwoma,0
Atwima Kwanwoma,0
Offinso Municipal,0
Ahafo Ano South,0
Ejura Sekye Dumase,0
Atwima Nwabiagya,0
Bekwai Municipal,0
Afigya Kwabre,0
Nabdam,0
Ledzokuku / Krowor,0
Adenta,0
Kpone Katamanso,0
Tema Metropolis,0
La Nkwantanang Madina,0
Accra Metropolis,0
Ga Central Municipal,0
Ningo Prampram,0
Ga West,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Assin South,0
Ajumako / Enyan / Esiam,0
Twifo Ati-Morkwa,0
Abura / Asebu / Kwamankese,0
Agona West,0
Awutu Senya West,0
Gomoa West,0
Mfantsiman,0
Ekumfi,0
Gomoa East,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Upper Denkyira East,0
Awutu Senya West,0
Assin North,0
Agona East,0
Upper Denkyira West,0
Awutu Senya East Municipal,0
Banda,0
Sunyani West,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Wenchi,0
Sunyani Municipal,0
Tain,0
