Region,Roads Impacted
Ahanta West,14772
Sekondi Takoradi,12678
Cape Coast Metro,7057
Ellembelle,5680
Komenda Edna Eguafo / Abirem,4633
Krachi Nchumuru,2906
East Gonja,2834
Nzema East,2333
Ga South,1920
Shama,1460
Mfantsiman,1392
Jomoro,1180
Sefwi-Wiawso,490
Nandom,481
Kwahu Afram Plains North,460
Ketu South,380
Krachi West,350
Kwahu Afram Plains South,350
Yendi Municipal,320
Garu Tempane,310
Central Tongu,270
Suaman,250
North Tongu,200
Shai Osu Doku,200
Pru,180
Wa Municipal,180
Bawku Municipal,170
Ada West,170
Gomoa West,160
Atebubu Amantin,150
Asunafo South,150
Gonja Central,150
Asuogyaman,150
Banda,130
Jirapa,120
Bole,120
Binduri,120
Kpone Katamanso,110
Kpando Municipal,100
West Mamprusi,100
Lambussie Karni,90
Mamprusi East,90
Tamale North Sub Metro,90
Afadzato South,80
Biakoye,80
New Juaben Municipal,80
Bodi,70
Sene East,70
Akatsi South,70
Tatale,70
Bolgatanga Municipal,70
Ningo Prampram,70
South Tongu,60
Wa East,60
Nanumba North,60
Kasena Nankana West,60
Kasena Nankana West,60
Lawra,59
Hohoe Municipal,50
Keta Municipal,50
Sissala East,50
Zabzugu,50
Mampong Municipal,50
Builsa North,50
Agona West,50
Kintampo North,44
Asutifi South,40
Sissala  West,40
Adenta,40
Accra Metropolis,40
Kintampo South,36
Adaklu,30
Nkwanta South,30
Wa West,30
Bunkpurugu Yonyo,30
Mion,30
Saboba,30
Mion,30
Asante Akim North,30
Ga East,30
Asunafo North,20
Kwahu South,20
Kwahu South,20
Kwahu South,20
Kasena Nankana East,20
Kasena Nankana East,20
Kasena Nankana East,20
Ho Municipal,10
Ho Municipal,10
Ho Municipal,10
Ketu North,10
Akwapem North,10
Akwapem South,10
Kwahu East,10
Nabdam,10
Ashaiman,10
Ekumfi,10
Tain,10
Juabeso,0
Bia East,0
Bia West,0
Aowin,0
Sefwi Akontombra,0
Tarkwa Nsuaem,0
Wassa Amenfi Central,0
Wassa Amenfi East,0
Wassa East,0
Wassa Amenfi West,0
Prestea / Huni Valley,0
Mpohor,0
Sene West,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Techiman North,0
Ho West,0
Agotime Ziope,0
Ho West,0
Akatsi North,0
North Dayi,0
South Dayi,0
Asutifi North,0
Tano South,0
Tano North,0
Kadjebi,0
Nkwanta North,0
Jasikan,0
Kadjebi,0
Krachi East,0
Daffiama Bussie,0
Chereponi,0
Mamprugu Moagduri,0
West Gonja,0
North Gonja,0
Denkyembour,0
Kwaebibirem,0
Yilo Krobo,0
Upper West Akim,0
Birim Municipal,0
Lower Manya,0
Ayensuano,0
East Akim,0
Birim South,0
West Akim,0
Atiwa,0
Fanteakwa,0
Nsawam Adoagyiri,0
Upper Manya,0
Suhum Municipal,0
Akyem Mansa,0
Birim North,0
Kwahu West,0
Savelugu Nanton,0
Tolon,0
Sagnerigu,0
Nanumba South,0
Kpandai,0
Gushiegu,0
Kumbumgu,0
Karaga,0
Asokore Mampong Municipal,0
Kwabre,0
Bosome Freho,0
Asante Akim South,0
Bosome Freho,0
Asante Akim Central Municipal,0
Sekyere East,0
Offinso North,0
Ejisu Juaben,0
Adansi North,0
Amansie Central,0
Sekyere Central,0
Sekyere Afram Plains North,0
Amansie West,0
Ahafo Ano North,0
Kma,0
Atwima Kwanwoma,0
Offinso Municipal,0
Ahafo Ano South,0
Ejura Sekye Dumase,0
Adansi South,0
Atwima Mponua,0
Atwima Nwabiagya,0
Bekwai Municipal,0
Afigya Kwabre,0
Builsa South,0
Bawku West,0
Pusiga,0
Bongo,0
Talensi,0
Ledzokuku / Krowor,0
Tema Metropolis,0
La Nkwantanang Madina,0
Ga Central Municipal,0
Ada East,0
Ga West,0
La Dade Kotopon,0
Assin South,0
Twifo Ati-Morkwa,0
Abura / Asebu / Kwamankese,0
Effutu,0
Gomoa East,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Upper Denkyira East,0
Assin North,0
Agona East,0
Upper Denkyira West,0
Awutu Senya East Municipal,0
Sunyani West,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Wenchi,0
Sunyani Municipal,0
