Region,People Impacted
Komenda Edna Eguafo / Abirem,966
Ada East,550
Sekondi Takoradi,528
Krachi East,528
Karaga,504
Effutu,384
Ada West,334
Wassa East,270
Ga South,200
Shama,174
Accra Metropolis,162
Saboba,153
West Mamprusi,125
Keta Municipal,118
Ketu South,102
Bawku West,98
Ahanta West,95
Bunkpurugu Yonyo,86
Nzema East,72
Mamprugu Moagduri,70
Mamprusi East,68
Chereponi,66
Kasena Nankana East,64
Kasena Nankana East,64
Kasena Nankana East,64
Jomoro,61
Builsa North,40
East Gonja,28
Gushiegu,28
Twifo Ati-Morkwa,26
Krachi West,22
Sene West,20
Sene East,20
Aowin,18
Nkwanta South,18
Kwahu East,18
Garu Tempane,18
Talensi,18
Gonja Central,16
South Tongu,15
Kwahu Afram Plains South,15
Kwahu Afram Plains North,15
Yendi Municipal,13
Kumbumgu,12
Savelugu Nanton,11
Gomoa West,11
Bolgatanga Municipal,10
Atiwa,9
Ningo Prampram,8
Wassa Amenfi Central,6
Kwahu South,6
Kwahu South,6
Kwahu South,6
Sefwi Bibiani / Anhwiaso Bekwai,0
Sefwi-Wiawso,0
Juabeso,0
Bia East,0
Suaman,0
Bia West,0
Bodi,0
Sefwi Akontombra,0
Tarkwa Nsuaem,0
Wassa Amenfi East,0
Wassa Amenfi West,0
Ellembelle,0
Prestea / Huni Valley,0
Mpohor,0
Kintampo South,0
Techiman Municipal,0
Pru,0
Nkoranza South,0
Nkoranza North,0
Atebubu Amantin,0
Techiman North,0
Kintampo North,0
Ho Municipal,0
Ho West,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
Central Tongu,0
Ho West,0
Kpando Municipal,0
Afadzato South,0
Akatsi North,0
Ketu North,0
Hohoe Municipal,0
North Dayi,0
South Dayi,0
North Tongu,0
Akatsi South,0
Adaklu,0
Asunafo North,0
Asunafo South,0
Asutifi South,0
Asutifi North,0
Tano South,0
Tano North,0
Kadjebi,0
Nkwanta North,0
Jasikan,0
Kadjebi,0
Krachi Nchumuru,0
Biakoye,0
Nadowli / Kaleo,0
Lawra,0
Jirapa,0
Nandom,0
Sissala East,0
Sissala  West,0
Lambussie Karni,0
Wa West,0
Wa East,0
Daffiama Bussie,0
Wa Municipal,0
Sawla / Tuna / Kalba,0
Bole,0
West Gonja,0
North Gonja,0
Denkyembour,0
Kwaebibirem,0
Yilo Krobo,0
Akwapem North,0
Upper West Akim,0
Birim Municipal,0
Lower Manya,0
Ayensuano,0
East Akim,0
Birim South,0
West Akim,0
Asuogyaman,0
Fanteakwa,0
Nsawam Adoagyiri,0
Upper Manya,0
Suhum Municipal,0
Akyem Mansa,0
Akwapem South,0
New Juaben Municipal,0
Birim North,0
Kwahu West,0
Tolon,0
Sagnerigu,0
Tatale,0
Nanumba South,0
Zabzugu,0
Mion,0
Kpandai,0
Tamale North Sub Metro,0
Nanumba North,0
Mion,0
Asokore Mampong Municipal,0
Kwabre,0
Bosome Freho,0
Asante Akim South,0
Asante Akim North,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Bosome Freho,0
Asante Akim Central Municipal,0
Sekyere East,0
Offinso North,0
Ejisu Juaben,0
Adansi North,0
Amansie Central,0
Obuasi Municipal,0
Sekyere Central,0
Sekyere Afram Plains North,0
Amansie West,0
Ahafo Ano North,0
Kma,0
Bosomtwe / Atwima / Kwanwoma,0
Atwima Kwanwoma,0
Offinso Municipal,0
Ahafo Ano South,0
Ejura Sekye Dumase,0
Adansi South,0
Atwima Mponua,0
Atwima Nwabiagya,0
Bekwai Municipal,0
Afigya Kwabre,0
Kasena Nankana West,0
Builsa South,0
Binduri,0
Kasena Nankana West,0
Pusiga,0
Bongo,0
Bawku Municipal,0
Nabdam,0
Ledzokuku / Krowor,0
Adenta,0
Kpone Katamanso,0
Tema Metropolis,0
La Nkwantanang Madina,0
Shai Osu Doku,0
Ga Central Municipal,0
Ga West,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Assin South,0
Ajumako / Enyan / Esiam,0
Abura / Asebu / Kwamankese,0
Agona West,0
Awutu Senya West,0
Cape Coast Metro,0
Mfantsiman,0
Ekumfi,0
Gomoa East,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Upper Denkyira East,0
Awutu Senya West,0
Assin North,0
Agona East,0
Upper Denkyira West,0
Awutu Senya East Municipal,0
Banda,0
Sunyani West,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Wenchi,0
Sunyani Municipal,0
Tain,0
