Region,Crops Impacted
West Mamprusi,113.22
Savelugu Nanton,85.55
Saboba,84.67
Kumbumgu,70.6
Mamprugu Moagduri,46.58
Karaga,44.06
Chereponi,37.75
Tolon,32.9
North Gonja,23.08
Gonja Central,18.09
East Gonja,11.81
Nanumba North,8.25
West Gonja,7.27
Yendi Municipal,7.19
Talensi,7.05
Pru,7.03
Kasena Nankana East,5.42
Kasena Nankana East,5.42
Kasena Nankana East,5.42
Zabzugu,3.86
Kwahu Afram Plains North,3.71
Nanumba South,3.42
Kwahu Afram Plains South,3.34
Mion,2.91
Mion,2.91
Tatale,2.77
Nkwanta North,1.95
Krachi East,1.29
Fanteakwa,1.24
Kpandai,1.12
Bunkpurugu Yonyo,1.08
Kintampo North,1.04
Sene East,0.96
Mamprusi East,0.92
Asante Akim North,0.92
Krachi Nchumuru,0.78
Bawku West,0.72
Kwahu South,0.71
Kwahu South,0.71
Kwahu South,0.71
Binduri,0.58
Wa East,0.55
Gushiegu,0.51
Builsa South,0.51
Garu Tempane,0.5
Krachi West,0.46
Sekyere Central,0.46
Upper Manya,0.44
Sene West,0.4
Bawku Municipal,0.39
Bole,0.37
Nandom,0.36
Kasena Nankana West,0.35
Kasena Nankana West,0.35
Lawra,0.27
Jirapa,0.25
Bongo,0.25
Wa West,0.22
Kwahu East,0.22
Tamale North Sub Metro,0.2
Biakoye,0.19
Pusiga,0.19
Ketu South,0.18
Mampong Municipal,0.17
Bolgatanga Municipal,0.17
Nkwanta South,0.14
Builsa North,0.13
Amansie West,0.12
Nadowli / Kaleo,0.11
Ejura Sekye Dumase,0.11
South Dayi,0.1
Sekyere Afram Plains North,0.1
Afadzato South,0.09
North Dayi,0.08
Asuogyaman,0.08
Sissala  West,0.07
Sefwi Bibiani / Anhwiaso Bekwai,0.06
Wassa Amenfi East,0.05
Prestea / Huni Valley,0.05
Sissala East,0.05
Lower Manya,0.05
Wassa Amenfi Central,0.04
Kpando Municipal,0.04
Keta Municipal,0.04
Sawla / Tuna / Kalba,0.04
Aowin,0.03
Wassa Amenfi West,0.02
Lambussie Karni,0.02
Ga South,0.02
Upper Denkyira West,0.02
Nzema East,0.01
Wassa East,0.01
Kintampo South,0.01
Daffiama Bussie,0.01
Ayensuano,0.01
Sagnerigu,0.01
Amansie Central,0.01
Adansi South,0.01
Atwima Mponua,0.01
Mfantsiman,0.01
Effutu,0.01
Ekumfi,0.01
Banda,0.01
Dormaa Municipal,0.01
Tain,0.01
Sefwi-Wiawso,0
Juabeso,0
Bia East,0
Suaman,0
Bia West,0
Bodi,0
Sefwi Akontombra,0
Tarkwa Nsuaem,0
Ahanta West,0
Sekondi Takoradi,0
Jomoro,0
Shama,0
Ellembelle,0
Mpohor,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Atebubu Amantin,0
Techiman North,0
Ho Municipal,0
Ho West,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
South Tongu,0
Central Tongu,0
Ho West,0
Akatsi North,0
Ketu North,0
Hohoe Municipal,0
North Tongu,0
Akatsi South,0
Adaklu,0
Asunafo North,0
Asunafo South,0
Asutifi South,0
Asutifi North,0
Tano South,0
Tano North,0
Kadjebi,0
Jasikan,0
Kadjebi,0
Wa Municipal,0
Denkyembour,0
Kwaebibirem,0
Yilo Krobo,0
Akwapem North,0
Upper West Akim,0
Birim Municipal,0
East Akim,0
Birim South,0
West Akim,0
Atiwa,0
Nsawam Adoagyiri,0
Suhum Municipal,0
Akyem Mansa,0
Akwapem South,0
New Juaben Municipal,0
Birim North,0
Kwahu West,0
Asokore Mampong Municipal,0
Kwabre,0
Bosome Freho,0
Asante Akim South,0
Sekyere South,0
Sekyere Kumawu,0
Bosome Freho,0
Asante Akim Central Municipal,0
Sekyere East,0
Offinso North,0
Ejisu Juaben,0
Adansi North,0
Obuasi Municipal,0
Ahafo Ano North,0
Kma,0
Bosomtwe / Atwima / Kwanwoma,0
Atwima Kwanwoma,0
Offinso Municipal,0
Ahafo Ano South,0
Atwima Nwabiagya,0
Bekwai Municipal,0
Afigya Kwabre,0
Nabdam,0
Ledzokuku / Krowor,0
Adenta,0
Kpone Katamanso,0
Tema Metropolis,0
La Nkwantanang Madina,0
Shai Osu Doku,0
Ada West,0
Accra Metropolis,0
Ga Central Municipal,0
Ningo Prampram,0
Ada East,0
Ga West,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Assin South,0
Ajumako / Enyan / Esiam,0
Twifo Ati-Morkwa,0
Abura / Asebu / Kwamankese,0
Agona West,0
Awutu Senya West,0
Komenda Edna Eguafo / Abirem,0
Cape Coast Metro,0
Gomoa West,0
Gomoa East,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Upper Denkyira East,0
Awutu Senya West,0
Assin North,0
Agona East,0
Awutu Senya East Municipal,0
Sunyani West,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Wenchi,0
Sunyani Municipal,0
