Region,People Impacted
Ga South,2606
Gonja Central,2087
Ada West,2073
Krachi West,2058
Kpandai,2000
Krachi Nchumuru,1485
East Gonja,1438
Kwahu Afram Plains South,1305
Jomoro,1213
Krachi East,1021
Upper Denkyira East,858
Ada East,840
Keta Municipal,837
Obuasi Municipal,782
Kwahu Afram Plains North,780
Prestea / Huni Valley,764
Sefwi Akontombra,705
Ellembelle,622
Sene East,608
Bekwai Municipal,540
Komenda Edna Eguafo / Abirem,414
Ketu South,392
Wassa East,378
Birim North,364
Jaman South,336
Shama,297
South Dayi,294
Accra Metropolis,283
North Tongu,267
Agona East,252
Upper Denkyira West,234
Birim Municipal,225
Nanumba North,225
Asuogyaman,224
Kintampo North,214
Kma,200
Kwaebibirem,198
Biakoye,173
Amansie West,171
La Nkwantanang Madina,168
Gomoa East,163
Effutu,160
Akyem Mansa,144
Nkwanta South,143
Techiman Municipal,138
Aowin,134
Central Tongu,133
Adansi North,128
Sunyani West,126
Suhum Municipal,120
Cape Coast Metro,116
Adansi South,114
Afadzato South,112
Tain,112
Sekondi Takoradi,110
Ekumfi,110
Asikuma / Odoben / Brakwa,108
Yilo Krobo,105
Yendi Municipal,104
Nzema East,88
Nkwanta North,88
Amansie Central,84
Tarkwa Nsuaem,80
Kpone Katamanso,80
Chereponi,77
Mfantsiman,77
West Mamprusi,76
Nanumba South,75
Wassa Amenfi Central,72
Shai Osu Doku,67
Wassa Amenfi East,63
Atwima Mponua,63
Sene West,60
Upper West Akim,60
Upper Manya,60
Bosomtwe / Atwima / Kwanwoma,60
Nsawam Adoagyiri,56
Asutifi North,54
Ningo Prampram,52
Ahanta West,45
Dormaa Municipal,44
Berekum,40
Bunkpurugu Yonyo,36
Kwahu South,36
Kwahu South,36
Kwahu South,36
Pru,34
Wassa Amenfi West,30
Fanteakwa,30
Sunyani Municipal,30
Bole,28
Karaga,28
Saboba,27
Mion,26
Mion,26
Kwabre,26
Atwima Nwabiagya,24
South Tongu,21
Mamprugu Moagduri,20
Mpohor,18
Ketu North,18
Denkyembour,18
Kumbumgu,18
Asante Akim Central Municipal,16
North Gonja,11
Akwapem North,11
Savelugu Nanton,11
Juabeso,9
Bodi,9
Ga Central Municipal,9
Asunafo North,8
Mamprusi East,8
Builsa North,8
Bia East,7
Wa West,7
Lower Manya,7
Lawra,6
Jirapa,6
Ga West,6
Ejisu Juaben,5
Kasena Nankana East,5
Kasena Nankana East,5
Kasena Nankana East,5
Sefwi Bibiani / Anhwiaso Bekwai,0
Sefwi-Wiawso,0
Suaman,0
Bia West,0
Kintampo South,0
Nkoranza South,0
Nkoranza North,0
Atebubu Amantin,0
Techiman North,0
Ho Municipal,0
Ho West,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
Ho West,0
Kpando Municipal,0
Akatsi North,0
Hohoe Municipal,0
North Dayi,0
Akatsi South,0
Adaklu,0
Asunafo South,0
Asutifi South,0
Tano South,0
Tano North,0
Kadjebi,0
Jasikan,0
Kadjebi,0
Nadowli / Kaleo,0
Nandom,0
Sissala East,0
Sissala  West,0
Lambussie Karni,0
Wa East,0
Daffiama Bussie,0
Wa Municipal,0
Sawla / Tuna / Kalba,0
West Gonja,0
Ayensuano,0
East Akim,0
Birim South,0
West Akim,0
Atiwa,0
Akwapem South,0
Kwahu East,0
New Juaben Municipal,0
Kwahu West,0
Tolon,0
Sagnerigu,0
Tatale,0
Zabzugu,0
Gushiegu,0
Tamale North Sub Metro,0
Asokore Mampong Municipal,0
Bosome Freho,0
Asante Akim South,0
Asante Akim North,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Bosome Freho,0
Sekyere East,0
Offinso North,0
Sekyere Central,0
Sekyere Afram Plains North,0
Ahafo Ano North,0
Atwima Kwanwoma,0
Offinso Municipal,0
Ahafo Ano South,0
Ejura Sekye Dumase,0
Afigya Kwabre,0
Kasena Nankana West,0
Builsa South,0
Binduri,0
Kasena Nankana West,0
Bawku West,0
Pusiga,0
Bongo,0
Bolgatanga Municipal,0
Bawku Municipal,0
Garu Tempane,0
Talensi,0
Nabdam,0
Ledzokuku / Krowor,0
Adenta,0
Tema Metropolis,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Assin South,0
Ajumako / Enyan / Esiam,0
Twifo Ati-Morkwa,0
Abura / Asebu / Kwamankese,0
Agona West,0
Awutu Senya West,0
Gomoa West,0
Twifo Lower Denkyira,0
Awutu Senya West,0
Assin North,0
Awutu Senya East Municipal,0
Banda,0
Dormaa West,0
Jaman North,0
Dormaa East,0
Wenchi,0
