Region,People Impacted
Sekondi Takoradi,5534
Komenda Edna Eguafo / Abirem,3795
Cape Coast Metro,2726
Shama,1865
Ahanta West,1113
Mfantsiman,1076
Ellembelle,970
Ekumfi,638
Jomoro,390
Ada West,270
Ga South,200
Afadzato South,196
Central Tongu,161
Asuogyaman,161
Nzema East,152
West Mamprusi,140
Krachi East,121
Keta Municipal,112
Ada East,104
Shai Osu Doku,102
North Tongu,100
Nandom,86
Accra Metropolis,82
Lambussie Karni,77
Kwahu Afram Plains South,60
Gomoa West,56
Sefwi-Wiawso,55
Krachi West,55
New Juaben Municipal,48
Kwahu Afram Plains North,45
Ketu South,42
Asunafo South,38
Nkwanta North,36
Bolgatanga Municipal,33
Sene East,30
Asutifi South,30
Nanumba North,30
Kasena Nankana East,30
Kasena Nankana East,30
Kasena Nankana East,30
Yendi Municipal,26
Lower Manya,23
Suaman,19
North Dayi,18
Garu Tempane,18
South Tongu,16
Gonja Central,16
Zabzugu,16
Kpandai,16
Jasikan,15
Lawra,12
Kwahu South,12
Kwahu South,12
Kwahu South,12
Nabdam,12
Agona East,12
Ho West,11
Ho West,11
Sene West,10
Atiwa,10
Juabeso,9
Bodi,9
Akatsi South,9
Ga East,8
Bia East,7
Bia West,7
South Dayi,7
Jirapa,6
Talensi,6
Sissala  West,5
Ningo Prampram,4
Aowin,0
Sefwi Akontombra,0
Tarkwa Nsuaem,0
Wassa Amenfi Central,0
Wassa Amenfi East,0
Wassa East,0
Wassa Amenfi West,0
Prestea / Huni Valley,0
Mpohor,0
Kintampo South,0
Techiman Municipal,0
Pru,0
Nkoranza South,0
Nkoranza North,0
Atebubu Amantin,0
Techiman North,0
Kintampo North,0
Ho Municipal,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
Kpando Municipal,0
Akatsi North,0
Ketu North,0
Hohoe Municipal,0
Adaklu,0
Asunafo North,0
Asutifi North,0
Tano South,0
Tano North,0
Kadjebi,0
Nkwanta South,0
Kadjebi,0
Krachi Nchumuru,0
Biakoye,0
Sissala East,0
Wa West,0
Wa East,0
Daffiama Bussie,0
Wa Municipal,0
Bunkpurugu Yonyo,0
Chereponi,0
Mamprugu Moagduri,0
Mamprusi East,0
East Gonja,0
Bole,0
West Gonja,0
North Gonja,0
Denkyembour,0
Kwaebibirem,0
Yilo Krobo,0
Akwapem North,0
Upper West Akim,0
Birim Municipal,0
Ayensuano,0
East Akim,0
Birim South,0
West Akim,0
Fanteakwa,0
Nsawam Adoagyiri,0
Upper Manya,0
Suhum Municipal,0
Akyem Mansa,0
Akwapem South,0
Kwahu East,0
Birim North,0
Kwahu West,0
Savelugu Nanton,0
Tolon,0
Sagnerigu,0
Tatale,0
Nanumba South,0
Mion,0
Saboba,0
Gushiegu,0
Kumbumgu,0
Tamale North Sub Metro,0
Karaga,0
Mion,0
Asokore Mampong Municipal,0
Kwabre,0
Bosome Freho,0
Asante Akim South,0
Asante Akim North,0
Mampong Municipal,0
Bosome Freho,0
Asante Akim Central Municipal,0
Sekyere East,0
Offinso North,0
Ejisu Juaben,0
Adansi North,0
Amansie Central,0
Sekyere Central,0
Sekyere Afram Plains North,0
Amansie West,0
Ahafo Ano North,0
Kma,0
Atwima Kwanwoma,0
Offinso Municipal,0
Ahafo Ano South,0
Ejura Sekye Dumase,0
Adansi South,0
Atwima Mponua,0
Atwima Nwabiagya,0
Bekwai Municipal,0
Afigya Kwabre,0
Kasena Nankana West,0
Builsa South,0
Binduri,0
Kasena Nankana West,0
Bawku West,0
Pusiga,0
Bongo,0
Bawku Municipal,0
Builsa North,0
Ledzokuku / Krowor,0
Adenta,0
Kpone Katamanso,0
Tema Metropolis,0
La Nkwantanang Madina,0
Ga Central Municipal,0
Ga West,0
Ashaiman,0
La Dade Kotopon,0
Assin South,0
Twifo Ati-Morkwa,0
Abura / Asebu / Kwamankese,0
Agona West,0
Effutu,0
Gomoa East,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Upper Denkyira East,0
Assin North,0
Upper Denkyira West,0
Awutu Senya East Municipal,0
Banda,0
Sunyani West,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Wenchi,0
Sunyani Municipal,0
Tain,0
