Region,People Impacted
Gonja Central,1503
Agona West,1404
Gomoa West,1288
East Gonja,1225
Ga South,487
Birim South,440
Accra Metropolis,332
Kwahu Afram Plains North,300
Asikuma / Odoben / Brakwa,252
Wa Municipal,240
Sene East,196
Sunyani Municipal,155
Aowin,140
Ajumako / Enyan / Esiam,140
West Mamprusi,133
Chereponi,121
Kasena Nankana West,117
Kasena Nankana West,117
Jomoro,108
Yendi Municipal,104
Kpandai,96
Savelugu Nanton,94
La Dade Kotopon,82
Suaman,80
Krachi West,75
Kma,75
Assin North,75
Wassa East,72
Krachi Nchumuru,72
Birim Municipal,72
Gomoa East,70
Krachi East,66
Sefwi Akontombra,60
Mamprugu Moagduri,60
Kwahu Afram Plains South,60
Nanumba North,60
Wa East,51
Builsa North,48
Shama,44
Kintampo North,44
Sene West,40
Kumbumgu,38
Lawra,36
Banda,35
Sefwi-Wiawso,33
Biakoye,25
Lambussie Karni,24
Sekondi Takoradi,22
Mfantsiman,22
Tema Metropolis,20
Nkwanta South,18
Adansi North,18
Pru,17
Sissala East,16
Zabzugu,16
Kasena Nankana East,16
Kasena Nankana East,16
Kasena Nankana East,16
Upper West Akim,15
Bunkpurugu Yonyo,14
Bole,14
Asuogyaman,14
Mion,13
Tamale North Sub Metro,13
Mion,13
Kwahu South,12
Kwahu South,12
Upper Manya,12
Kwahu South,12
Atwima Nwabiagya,12
Ningo Prampram,12
North Gonja,11
Ekumfi,11
Fanteakwa,10
Karaga,10
Wassa Amenfi East,9
Nkwanta North,9
Denkyembour,9
Amansie West,9
Ahafo Ano South,8
Awutu Senya West,8
Awutu Senya West,8
Awutu Senya East Municipal,8
South Dayi,7
Jirapa,6
Nandom,6
Talensi,6
Atwima Kwanwoma,4
Tatale,2
Sefwi Bibiani / Anhwiaso Bekwai,0
Juabeso,0
Bia East,0
Bia West,0
Bodi,0
Tarkwa Nsuaem,0
Nzema East,0
Wassa Amenfi Central,0
Ahanta West,0
Wassa Amenfi West,0
Ellembelle,0
Prestea / Huni Valley,0
Mpohor,0
Kintampo South,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Atebubu Amantin,0
Techiman North,0
Ho Municipal,0
Ho West,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
South Tongu,0
Central Tongu,0
Ho West,0
Kpando Municipal,0
Afadzato South,0
Akatsi North,0
Ketu South,0
Ketu North,0
Hohoe Municipal,0
Keta Municipal,0
North Dayi,0
North Tongu,0
Akatsi South,0
Adaklu,0
Asunafo North,0
Asunafo South,0
Asutifi South,0
Asutifi North,0
Tano South,0
Tano North,0
Kadjebi,0
Jasikan,0
Kadjebi,0
Nadowli / Kaleo,0
Sissala  West,0
Wa West,0
Daffiama Bussie,0
Mamprusi East,0
Sawla / Tuna / Kalba,0
West Gonja,0
Kwaebibirem,0
Yilo Krobo,0
Akwapem North,0
Lower Manya,0
Ayensuano,0
East Akim,0
West Akim,0
Atiwa,0
Nsawam Adoagyiri,0
Suhum Municipal,0
Akyem Mansa,0
Akwapem South,0
Kwahu East,0
New Juaben Municipal,0
Birim North,0
Kwahu West,0
Tolon,0
Sagnerigu,0
Nanumba South,0
Saboba,0
Gushiegu,0
Asokore Mampong Municipal,0
Kwabre,0
Bosome Freho,0
Asante Akim South,0
Asante Akim North,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Bosome Freho,0
Asante Akim Central Municipal,0
Sekyere East,0
Offinso North,0
Ejisu Juaben,0
Amansie Central,0
Obuasi Municipal,0
Sekyere Central,0
Sekyere Afram Plains North,0
Ahafo Ano North,0
Bosomtwe / Atwima / Kwanwoma,0
Offinso Municipal,0
Ejura Sekye Dumase,0
Adansi South,0
Atwima Mponua,0
Bekwai Municipal,0
Afigya Kwabre,0
Builsa South,0
Binduri,0
Bawku West,0
Pusiga,0
Bongo,0
Bolgatanga Municipal,0
Bawku Municipal,0
Garu Tempane,0
Nabdam,0
Ledzokuku / Krowor,0
Adenta,0
Kpone Katamanso,0
La Nkwantanang Madina,0
Shai Osu Doku,0
Ada West,0
Ga Central Municipal,0
Ada East,0
Ga West,0
Ashaiman,0
Ga East,0
Assin South,0
Twifo Ati-Morkwa,0
Abura / Asebu / Kwamankese,0
Komenda Edna Eguafo / Abirem,0
Cape Coast Metro,0
Effutu,0
Twifo Lower Denkyira,0
Upper Denkyira East,0
Agona East,0
Upper Denkyira West,0
Sunyani West,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Wenchi,0
Tain,0
