Region,People Impacted
Birim Municipal,324
Ada West,216
Komenda Edna Eguafo / Abirem,184
Shama,135
Sene East,130
Keta Municipal,128
Krachi West,124
Accra Metropolis,106
Ga South,100
Nkwanta North,90
Atiwa,81
Wassa Amenfi East,72
Twifo Ati-Morkwa,65
Sekondi Takoradi,64
Asuogyaman,63
Amansie West,63
Ada East,62
Mfantsiman,60
North Tongu,59
East Gonja,55
Pru,51
Gomoa East,50
Bunkpurugu Yonyo,48
Ahanta West,45
Upper Denkyira West,45
Krachi East,40
South Tongu,39
Birim North,39
Ketu South,36
Nkwanta South,34
Ekumfi,33
Asante Akim Central Municipal,32
Effutu,32
Kwahu Afram Plains South,30
Obuasi Municipal,30
Ga West,30
Cape Coast Metro,29
Birim South,27
Agona East,24
Fanteakwa,20
Atwima Mponua,18
Shai Osu Doku,18
Nsawam Adoagyiri,16
Abura / Asebu / Kwamankese,16
Nanumba North,15
Bekwai Municipal,14
Amansie Central,12
Denkyembour,9
Kwaebibirem,9
Adansi North,9
Nzema East,8
Saboba,8
Ga East,8
Wassa Amenfi West,6
Kumbumgu,6
Tamale North Sub Metro,6
Ejisu Juaben,5
Ningo Prampram,4
Sefwi Bibiani / Anhwiaso Bekwai,0
Sefwi-Wiawso,0
Juabeso,0
Bia East,0
Suaman,0
Bia West,0
Bodi,0
Aowin,0
Sefwi Akontombra,0
Tarkwa Nsuaem,0
Wassa Amenfi Central,0
Wassa East,0
Jomoro,0
Ellembelle,0
Prestea / Huni Valley,0
Mpohor,0
Sene West,0
Kintampo South,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Atebubu Amantin,0
Techiman North,0
Kintampo North,0
Ho Municipal,0
Ho West,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
Central Tongu,0
Ho West,0
Kpando Municipal,0
Afadzato South,0
Akatsi North,0
Ketu North,0
Hohoe Municipal,0
North Dayi,0
South Dayi,0
Akatsi South,0
Adaklu,0
Asunafo North,0
Asunafo South,0
Asutifi South,0
Asutifi North,0
Tano South,0
Tano North,0
Kadjebi,0
Jasikan,0
Kadjebi,0
Krachi Nchumuru,0
Biakoye,0
Nadowli / Kaleo,0
Lawra,0
Jirapa,0
Nandom,0
Sissala East,0
Sissala  West,0
Lambussie Karni,0
Wa West,0
Wa East,0
Daffiama Bussie,0
Wa Municipal,0
West Mamprusi,0
Chereponi,0
Mamprugu Moagduri,0
Mamprusi East,0
Gonja Central,0
Sawla / Tuna / Kalba,0
Bole,0
West Gonja,0
North Gonja,0
Yilo Krobo,0
Akwapem North,0
Upper West Akim,0
Lower Manya,0
Ayensuano,0
East Akim,0
West Akim,0
Kwahu South,0
Kwahu Afram Plains North,0
Kwahu South,0
Upper Manya,0
Suhum Municipal,0
Akyem Mansa,0
Akwapem South,0
Kwahu East,0
Kwahu South,0
New Juaben Municipal,0
Kwahu West,0
Savelugu Nanton,0
Tolon,0
Sagnerigu,0
Tatale,0
Nanumba South,0
Zabzugu,0
Mion,0
Kpandai,0
Gushiegu,0
Karaga,0
Mion,0
Yendi Municipal,0
Asokore Mampong Municipal,0
Kwabre,0
Bosome Freho,0
Asante Akim South,0
Asante Akim North,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Bosome Freho,0
Sekyere East,0
Offinso North,0
Sekyere Central,0
Sekyere Afram Plains North,0
Ahafo Ano North,0
Kma,0
Bosomtwe / Atwima / Kwanwoma,0
Atwima Kwanwoma,0
Offinso Municipal,0
Ahafo Ano South,0
Ejura Sekye Dumase,0
Adansi South,0
Atwima Nwabiagya,0
Afigya Kwabre,0
Kasena Nankana East,0
Kasena Nankana West,0
Builsa South,0
Kasena Nankana East,0
Binduri,0
Kasena Nankana West,0
Bawku West,0
Pusiga,0
Bongo,0
Bolgatanga Municipal,0
Bawku Municipal,0
Garu Tempane,0
Kasena Nankana East,0
Talensi,0
Nabdam,0
Builsa North,0
Ledzokuku / Krowor,0
Adenta,0
Kpone Katamanso,0
Tema Metropolis,0
La Nkwantanang Madina,0
Ga Central Municipal,0
Ashaiman,0
La Dade Kotopon,0
Assin South,0
Ajumako / Enyan / Esiam,0
Agona West,0
Awutu Senya West,0
Gomoa West,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Upper Denkyira East,0
Awutu Senya West,0
Assin North,0
Awutu Senya East Municipal,0
Banda,0
Sunyani West,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Wenchi,0
Sunyani Municipal,0
Tain,0
