Region,Flooded Area Impacted
Kwahu Afram Plains North,1151.38
Sene East,885.44
Krachi East,874.82
Krachi West,575.3
East Gonja,551.94
Kwahu Afram Plains South,549.98
Biakoye,343.44
Asuogyaman,265.61
Pru,258.05
Gonja Central,246.13
North Dayi,212.94
Kpandai,212.12
Krachi Nchumuru,203.55
Banda,201.53
Upper Manya,176.24
Sene West,171.62
Bole,167.92
Keta Municipal,166.92
South Dayi,123.55
Kumbumgu,115.9
Kwahu South,102.35
Kwahu South,102.35
Kwahu South,102.35
Kpando Municipal,92.77
Fanteakwa,92.34
West Mamprusi,91.63
Savelugu Nanton,78.88
Nkwanta North,64.43
Nanumba North,49.81
Ada West,47.15
Bosomtwe / Atwima / Kwanwoma,46.87
Nkwanta South,46.21
Mamprugu Moagduri,42.68
Ada East,40.33
Kintampo North,36.69
Nanumba South,36.54
Tolon,33.49
Ketu South,33.26
North Gonja,32.36
Ga South,30.86
Saboba,27.86
Karaga,26.8
Asante Akim North,24.53
South Tongu,22.59
North Tongu,22.56
Lower Manya,22.42
Chereponi,16.81
Afadzato South,16.21
Kasena Nankana East,11.52
Kasena Nankana East,11.52
Kasena Nankana East,11.52
Kasena Nankana West,10.41
Kasena Nankana West,10.41
Jomoro,10.08
Central Tongu,10.07
Shai Osu Doku,9.97
Builsa South,9.41
Wa West,9.31
Ningo Prampram,9.15
Lawra,8.72
Yendi Municipal,7.3
Wassa East,7.04
Nadowli / Kaleo,6.91
Mion,6.47
Mion,6.47
West Gonja,6.41
Nandom,5.97
Amansie West,5.96
Ekumfi,5.95
Binduri,5.58
Bongo,5.4
Builsa North,5.27
Zabzugu,5.19
Upper Denkyira West,5.13
Bawku West,5.09
Jirapa,4.37
Ketu North,4.17
Nzema East,4.12
Prestea / Huni Valley,4.11
Sawla / Tuna / Kalba,3.83
Twifo Ati-Morkwa,3.73
Wa East,3.63
Tarkwa Nsuaem,3.54
Shama,3.52
Ahanta West,3.31
Atwima Mponua,3.31
Assin North,3.24
Atwima Nwabiagya,3.2
Gomoa West,3.15
Effutu,3.15
Akatsi South,3.12
Talensi,3.09
Mamprusi East,2.88
Bunkpurugu Yonyo,2.58
Wassa Amenfi Central,2.53
Tamale North Sub Metro,2.47
Kpone Katamanso,2.44
Garu Tempane,2.41
Wassa Amenfi East,2.38
Asutifi North,2.38
Komenda Edna Eguafo / Abirem,2.35
Mfantsiman,1.99
Amansie Central,1.87
Sissala East,1.86
Sissala  West,1.75
Aowin,1.74
Tatale,1.74
Ga Central Municipal,1.47
Birim North,1.45
Adansi South,1.43
Wassa Amenfi West,1.33
Atiwa,1.22
Sefwi Bibiani / Anhwiaso Bekwai,1.16
Obuasi Municipal,1.13
Upper Denkyira East,1
Lambussie Karni,0.98
Bolgatanga Municipal,0.85
Cape Coast Metro,0.84
Wa Municipal,0.82
Tema Metropolis,0.81
Bawku Municipal,0.68
West Akim,0.65
Gomoa East,0.59
Ellembelle,0.58
Atebubu Amantin,0.55
Gushiegu,0.55
Daffiama Bussie,0.51
Yilo Krobo,0.48
Birim Municipal,0.46
Awutu Senya West,0.45
Awutu Senya West,0.45
Pusiga,0.42
Denkyembour,0.4
Adenta,0.39
Ajumako / Enyan / Esiam,0.36
Accra Metropolis,0.33
Kwahu West,0.31
Nabdam,0.25
Adaklu,0.2
Akatsi North,0.19
Afigya Kwabre,0.18
Abura / Asebu / Kwamankese,0.18
Awutu Senya East Municipal,0.17
Kwahu East,0.16
Kintampo South,0.15
Atwima Kwanwoma,0.15
Kwaebibirem,0.14
Sekondi Takoradi,0.11
Asante Akim Central Municipal,0.11
La Dade Kotopon,0.11
Ga West,0.09
Agona East,0.09
Ledzokuku / Krowor,0.07
Tain,0.07
East Akim,0.06
Sagnerigu,0.06
Bosome Freho,0.05
Bosome Freho,0.05
Ahafo Ano South,0.05
Mpohor,0.04
Agotime Ziope,0.04
Ejisu Juaben,0.04
Bekwai Municipal,0.04
Twifo Lower Denkyira,0.04
Ho West,0.03
Ho West,0.03
Birim South,0.03
Ho Municipal,0.02
Ho Municipal,0.02
Ho Municipal,0.02
Nsawam Adoagyiri,0.02
Akwapem South,0.02
Asante Akim South,0.02
Sekyere Afram Plains North,0.02
Ejura Sekye Dumase,0.02
La Nkwantanang Madina,0.02
Ashaiman,0.02
Berekum,0.02
Wenchi,0.02
Sefwi-Wiawso,0.01
Sefwi Akontombra,0.01
Hohoe Municipal,0.01
Asutifi South,0.01
Suhum Municipal,0.01
Akyem Mansa,0.01
Sekyere East,0.01
Adansi North,0.01
Sekyere Central,0.01
Dormaa Municipal,0.01
Juabeso,0
Bia East,0
Suaman,0
Bia West,0
Bodi,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Techiman North,0
Asunafo North,0
Asunafo South,0
Tano South,0
Tano North,0
Kadjebi,0
Jasikan,0
Kadjebi,0
Akwapem North,0
Upper West Akim,0
Ayensuano,0
New Juaben Municipal,0
Asokore Mampong Municipal,0
Kwabre,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Offinso North,0
Ahafo Ano North,0
Kma,0
Offinso Municipal,0
Ga East,0
Assin South,0
Agona West,0
Asikuma / Odoben / Brakwa,0
Sunyani West,0
Dormaa West,0
Jaman South,0
Jaman North,0
Dormaa East,0
Sunyani Municipal,0
