Region,Flooded Area Impacted
Kwahu Afram Plains North,990.07
Krachi East,740.54
Sene East,715.24
Krachi West,510.59
Kwahu Afram Plains South,406.83
Biakoye,317.45
East Gonja,314.66
Asuogyaman,257.25
North Dayi,205.51
Krachi Nchumuru,153.27
Upper Manya,152.95
Pru,145.17
Sene West,116.47
South Dayi,116.05
Kpandai,96.6
Keta Municipal,92.88
Kwahu South,87.11
Kwahu South,87.11
Kwahu South,87.11
Kpando Municipal,82.08
Fanteakwa,80.89
Gonja Central,69.51
Bosomtwe / Atwima / Kwanwoma,46.24
Ada West,33.67
Nkwanta South,31.86
Ada East,24.27
Ga South,20.57
Nkwanta North,20.33
Lower Manya,18.36
Kumbumgu,15.7
North Tongu,12.63
Bole,11.43
Kintampo North,11.38
Afadzato South,10.78
Ketu South,9.92
Kasena Nankana West,7.99
Kasena Nankana West,7.99
West Mamprusi,6.39
Nanumba South,5.95
Shai Osu Doku,5.42
North Gonja,4.82
Bongo,4.4
Kasena Nankana East,4.38
Kasena Nankana East,4.38
Kasena Nankana East,4.38
Builsa North,3.79
Wa West,3.72
Jomoro,3.49
Tolon,3.22
South Tongu,3.2
Zabzugu,2.88
Yendi Municipal,2.67
Nanumba North,2.65
Binduri,2.55
Ketu North,2.53
Central Tongu,2.43
Ningo Prampram,2.42
Banda,2.38
Sawla / Tuna / Kalba,2.31
Mamprugu Moagduri,2.3
Saboba,2.24
Akatsi South,2.18
Bawku West,1.88
Mamprusi East,1.77
Ekumfi,1.66
Savelugu Nanton,1.49
Ga Central Municipal,1.18
West Gonja,1.16
Gomoa West,0.92
Garu Tempane,0.88
Nadowli / Kaleo,0.78
Tatale,0.76
Shama,0.73
Kpone Katamanso,0.68
Talensi,0.59
Karaga,0.5
Atwima Nwabiagya,0.43
Jirapa,0.41
Sissala  West,0.41
Cape Coast Metro,0.38
Chereponi,0.36
Mion,0.33
Mion,0.33
Komenda Edna Eguafo / Abirem,0.33
Tamale North Sub Metro,0.29
Tema Metropolis,0.29
Sissala East,0.22
Lawra,0.2
Bawku Municipal,0.19
Lambussie Karni,0.18
Daffiama Bussie,0.18
Nandom,0.17
Builsa South,0.17
Wa East,0.16
Mfantsiman,0.15
Wa Municipal,0.12
Bolgatanga Municipal,0.1
Wassa East,0.09
Pusiga,0.08
West Akim,0.07
Kintampo South,0.04
Nabdam,0.04
Effutu,0.04
Accra Metropolis,0.03
La Dade Kotopon,0.03
Yilo Krobo,0.02
Gushiegu,0.02
Adenta,0.02
Gomoa East,0.02
Atebubu Amantin,0.01
Bunkpurugu Yonyo,0.01
Sagnerigu,0.01
Ledzokuku / Krowor,0.01
Awutu Senya West,0.01
Awutu Senya West,0.01
Assin North,0.01
Sefwi Bibiani / Anhwiaso Bekwai,0
Sefwi-Wiawso,0
Juabeso,0
Bia East,0
Suaman,0
Bia West,0
Bodi,0
Aowin,0
Sefwi Akontombra,0
Tarkwa Nsuaem,0
Nzema East,0
Wassa Amenfi Central,0
Ahanta West,0
Wassa Amenfi East,0
Sekondi Takoradi,0
Wassa Amenfi West,0
Ellembelle,0
Prestea / Huni Valley,0
Mpohor,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Techiman North,0
Ho Municipal,0
Ho West,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
Ho West,0
Akatsi North,0
Hohoe Municipal,0
Adaklu,0
Asunafo North,0
Asunafo South,0
Asutifi South,0
Asutifi North,0
Tano South,0
Tano North,0
Kadjebi,0
Jasikan,0
Kadjebi,0
Denkyembour,0
Kwaebibirem,0
Akwapem North,0
Upper West Akim,0
Birim Municipal,0
Ayensuano,0
East Akim,0
Birim South,0
Atiwa,0
Nsawam Adoagyiri,0
Suhum Municipal,0
Akyem Mansa,0
Akwapem South,0
Kwahu East,0
New Juaben Municipal,0
Birim North,0
Kwahu West,0
Asokore Mampong Municipal,0
Kwabre,0
Bosome Freho,0
Asante Akim South,0
Asante Akim North,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Bosome Freho,0
Asante Akim Central Municipal,0
Sekyere East,0
Offinso North,0
Ejisu Juaben,0
Adansi North,0
Amansie Central,0
Obuasi Municipal,0
Sekyere Central,0
Sekyere Afram Plains North,0
Amansie West,0
Ahafo Ano North,0
Kma,0
Atwima Kwanwoma,0
Offinso Municipal,0
Ahafo Ano South,0
Ejura Sekye Dumase,0
Adansi South,0
Atwima Mponua,0
Bekwai Municipal,0
Afigya Kwabre,0
La Nkwantanang Madina,0
Ga West,0
Ashaiman,0
Ga East,0
Assin South,0
Ajumako / Enyan / Esiam,0
Twifo Ati-Morkwa,0
Abura / Asebu / Kwamankese,0
Agona West,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Upper Denkyira East,0
Agona East,0
Upper Denkyira West,0
Awutu Senya East Municipal,0
Sunyani West,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Wenchi,0
Sunyani Municipal,0
Tain,0
