Region,20200902_20200909,_20190901_2019092,0200930_20201007.,20200916_20200923,20200715_20200722,20200923_20200930,20200722_20200729,20200826_20200902,20200819_20200826,20200805_20200812,20200909_20200916,20201014_20201021,_20180815_2018101,0200812_20200819.
Bekwai Municipal,0,512,0,0,0,0,0,0,0,14,0,540,0,0.0
Berekum,0,440,0,0,0,0,0,0,0,0,0,40,0,0.0
Bia East,0,0,0,0,0,0,0,0,0,0,0,7,0,7.0
Bia West,0,18,0,0,0,0,0,0,0,0,0,0,0,7.0
Biakoye,0,25,5,0,62,10,40,0,0,0,0,173,0,0.0
Binduri,0,0,0,35,0,0,0,0,0,0,0,0,154,0.0
Birim Municipal,0,0,0,0,108,0,72,0,54,324,0,225,0,0.0
Birim North,0,91,0,0,0,0,26,0,65,39,0,364,0,0.0
Birim South,0,0,0,0,0,0,0,0,0,27,0,0,0,0.0
Bodi,0,0,0,189,0,0,0,0,0,0,0,9,0,9.0
Bole,0,189,7,0,0,0,14,0,14,0,0,28,0,0.0
Bolgatanga Municipal,10,35,5,0,90,0,111,0,0,0,0,0,406,33.0
Bongo,0,9,9,0,54,0,0,0,0,0,0,0,27,0.0
Bosome Freho,0,49,0,0,0,0,0,0,0,0,0,0,0,0.0
Bosomtwe / Atwima / Kwanwoma,0,0,0,0,0,0,0,0,0,0,0,60,0,
Builsa North,40,54,48,0,24,0,16,0,0,0,8,8,56,0.0
Builsa South,0,8,16,0,8,0,0,0,0,0,0,0,16,0.0
Bunkpurugu Yonyo,86,38,14,134,24,26,31,0,0,48,14,36,780,0.0
Cape Coast Metro,0,480,0,0,161,74,29,0,0,29,0,116,0,2726.0
Central Tongu,0,777,0,0,0,0,0,0,0,0,0,133,0,161.0
Chereponi,66,0,55,77,0,55,0,0,0,0,187,77,209,0.0
Daffiama Bussie,0,40,0,0,0,0,0,0,0,0,0,0,8,0.0
Denkyembour,0,9,0,0,0,0,27,0,0,9,0,18,0,0.0
Dormaa East,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Dormaa Municipal,0,0,0,0,0,168,0,0,0,0,0,44,0,0.0
Dormaa West,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
East Akim,0,117,0,0,0,9,0,666,45,0,0,0,0,0.0
East Gonja,28,792,1014,325,78,1082,29,0,13,55,60,1438,1131,0.0
Effutu,384,288,32,0,160,0,64,0,0,32,0,160,0,0.0
Ejisu Juaben,0,21,0,0,0,115,10,0,0,5,0,5,0,0.0
Ejura Sekye Dumase,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ekumfi,0,2137,22,0,44,11,11,0,11,33,0,110,0,638.0
Ellembelle,0,82,0,0,30,0,10,0,0,0,0,622,0,970.0
Fanteakwa,0,20,10,40,0,20,0,0,0,20,0,30,0,0.0
Ga Central Municipal,0,216,0,0,0,0,9,0,0,0,0,9,0,0.0
Ga East,0,6203,0,0,0,0,0,0,0,8,0,0,0,8.0
Ga South,200,4921,141,0,440,287,299,0,36,100,0,2606,0,200.0
Ga West,0,2510,0,0,0,0,39,0,0,30,0,6,0,0.0
Garu Tempane,18,0,0,0,0,0,18,0,0,0,0,0,340,18.0
Gomoa East,0,3718,24,0,10,0,134,0,0,50,0,163,0,0.0
Gomoa West,11,2743,0,0,56,0,42,0,126,0,0,0,0,56.0
Gonja Central,16,918,1330,1118,0,1373,8,0,24,0,24,2087,1123,16.0
Gushiegu,28,14,42,0,168,0,0,0,0,0,0,0,0,0.0
Ho Municipal,0,77,0,0,0,0,0,0,0,0,0,0,0,0.0
Ho West,0,0,0,0,0,0,11,0,0,0,0,0,0,11.0
Hohoe Municipal,0,252,0,0,0,0,42,0,0,0,0,0,0,0.0
Jaman North,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jaman South,0,0,0,0,0,0,0,0,0,0,0,336,0,0.0
Jasikan,0,20,0,0,0,0,10,0,0,0,0,0,0,15.0
Jirapa,0,48,12,0,0,0,12,0,0,0,0,6,12,6.0
Jomoro,61,2485,0,0,306,0,44,0,62,0,0,1213,0,390.0
Juabeso,0,441,45,297,0,0,9,0,0,0,0,9,0,9.0
Kadjebi,0,88,0,0,0,0,0,0,0,0,0,0,0,0.0
Karaga,504,245,300,206,28,38,56,126,28,0,308,28,279,0.0
Kasena Nankana East,64,79,43,40,66,5,15,0,18,0,6,5,46,30.0
Kasena Nankana West,0,6,0,0,0,0,39,0,0,0,0,0,9,0.0
Keta Municipal,118,1241,12,0,24,24,36,0,0,128,0,837,0,112.0
Ketu North,0,1556,0,0,0,0,0,0,0,0,0,18,0,0.0
Ketu South,102,564,0,78,18,42,24,39,0,36,0,392,0,42.0
Kintampo North,0,75,45,9,0,66,0,0,0,0,0,214,53,0.0
Kintampo South,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Kma,0,100,0,75,0,0,100,0,0,0,0,200,0,0.0
Komenda Edna Eguafo / Abirem,966,2667,644,45,896,1150,69,0,184,184,0,414,0,3795.0
Kpandai,0,720,112,32,0,96,0,0,0,0,0,2000,1328,16.0
Kpando Municipal,0,351,9,0,0,0,0,0,0,0,0,0,0,0.0
Kpone Katamanso,0,1028,0,0,0,0,0,0,0,0,0,80,0,0.0
Krachi East,528,1947,330,132,66,429,84,77,0,40,0,1021,616,121.0
Krachi Nchumuru,0,0,24,57,60,60,9,0,36,0,0,1485,132,0.0
Krachi West,22,819,76,120,573,148,0,0,22,124,0,2058,0,55.0
Kumbumgu,12,34,32,58,60,44,0,0,0,6,62,18,58,0.0
Kwabre,0,0,0,66,0,0,0,0,0,0,0,26,0,0.0
Kwaebibirem,0,1199,0,0,0,0,0,0,495,9,0,198,0,0.0
Kwahu Afram Plains North,15,480,75,45,285,435,15,15,0,0,30,780,0,45.0
Kwahu Afram Plains South,15,345,105,120,45,150,15,15,30,30,0,1305,0,60.0
Kwahu East,18,0,0,0,6,6,0,18,0,0,0,0,0,0.0
Kwahu South,6,36,18,6,18,12,12,0,0,0,0,36,0,12.0
Kwahu West,0,0,0,0,0,215,0,0,0,0,0,0,0,0.0
La Dade Kotopon,0,2009,0,0,0,0,0,0,0,0,0,0,0,0.0
La Nkwantanang Madina,0,2888,8,0,0,0,0,0,0,0,0,168,0,0.0
Lambussie Karni,0,0,0,0,0,0,11,0,0,0,0,0,0,77.0
Lawra,0,330,0,0,0,0,6,0,0,0,0,6,0,12.0
Ledzokuku / Krowor,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Lower Manya,0,34,7,0,0,0,0,0,0,0,0,7,0,23.0
Mampong Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Mamprugu Moagduri,70,130,40,40,30,80,50,0,10,0,70,20,120,0.0
Mamprusi East,68,16,12,42,0,0,32,0,0,0,60,8,300,0.0
Mfantsiman,0,1072,11,0,341,121,38,0,0,60,0,77,0,1076.0
Mion,0,78,26,0,0,0,26,0,0,0,0,26,585,0.0
Mpohor,0,432,0,0,0,0,0,0,0,0,0,18,0,0.0
Nabdam,0,0,0,0,60,0,0,0,0,0,0,0,12,12.0
Nadowli / Kaleo,0,4,0,0,0,0,20,0,0,0,0,0,0,
Nandom,0,12,0,0,0,0,0,0,0,0,0,0,0,86.0
Nanumba North,0,450,120,45,0,30,0,0,0,15,0,225,1425,30.0
Nanumba South,0,402,0,0,0,45,0,0,225,0,15,75,1642,0.0
New Juaben Municipal,0,179,0,0,0,48,24,0,0,0,0,0,0,48.0
Ningo Prampram,8,456,0,0,32,0,0,0,0,4,0,52,0,4.0
Nkoranza North,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nkoranza South,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nkwanta North,0,576,81,54,144,27,9,0,81,90,0,88,873,36.0
Nkwanta South,18,385,34,52,144,25,0,0,135,34,0,143,232,0.0
North Dayi,0,0,9,0,0,9,0,0,0,0,9,0,0,18.0
North Gonja,0,22,33,110,44,22,0,0,0,0,22,11,44,0.0
North Tongu,0,471,0,0,0,0,0,0,0,59,21,267,0,100.0
Nsawam Adoagyiri,0,545,88,0,0,0,16,0,0,16,0,56,0,0.0
Nzema East,72,192,8,0,48,0,0,0,7,8,0,88,0,152.0
Obuasi Municipal,0,45,0,0,0,403,24,0,16,30,0,782,0,
Offinso Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Offinso North,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Prestea / Huni Valley,0,840,0,0,14,42,42,14,0,0,0,764,0,0.0
Pru,0,345,30,0,0,17,0,0,0,51,0,34,1700,0.0
Pusiga,0,0,0,7,0,0,58,0,7,0,0,0,118,0.0
Saboba,153,29,419,73,51,102,0,0,16,8,152,27,382,0.0
Sagnerigu,0,6,0,108,330,0,72,0,0,0,0,0,193,0.0
Savelugu Nanton,11,371,178,127,132,105,33,0,0,0,127,11,529,0.0
Sawla / Tuna / Kalba,0,6,0,0,0,0,18,0,0,0,0,0,0,
Sefwi Akontombra,0,60,0,0,0,0,15,0,0,0,0,705,0,0.0
Sefwi Bibiani / Anhwiaso Bekwai,0,92,0,0,0,0,0,0,0,0,0,0,0,
Sefwi-Wiawso,0,0,0,0,0,264,0,0,0,0,0,0,0,55.0
Sekondi Takoradi,528,3652,0,0,220,0,66,0,0,64,0,110,0,5534.0
Sekyere Afram Plains North,0,9,0,0,0,0,0,0,0,0,0,0,0,0.0
Sekyere Central,0,0,0,0,0,0,0,16,8,0,0,0,0,0.0
Sekyere East,0,0,0,0,0,216,0,0,0,0,0,0,0,0.0
Sekyere Kumawu,0,0,0,0,0,8,0,0,0,0,0,0,0,
Sekyere South,0,0,0,0,0,180,0,0,0,0,0,0,0,
Sene East,20,802,242,80,50,334,0,0,140,130,10,608,222,30.0
Sene West,20,40,20,650,0,490,0,0,30,0,0,60,0,10.0
Shai Osu Doku,0,61,0,0,0,0,14,4,0,18,0,67,0,102.0
Shama,174,243,130,0,179,216,81,0,54,135,0,297,0,1865.0
Sissala  West,0,735,0,0,0,0,0,0,5,0,0,0,0,5.0
Sissala East,0,266,0,0,0,0,0,0,8,0,0,0,8,0.0
South Dayi,0,28,21,21,7,7,0,0,0,0,0,294,0,7.0
South Tongu,15,1722,0,0,0,0,8,0,0,39,0,21,0,16.0
Suaman,0,90,0,0,0,0,0,0,0,0,0,0,0,19.0
Suhum Municipal,0,0,0,0,0,0,10,0,0,0,0,120,0,0.0
Sunyani Municipal,0,0,0,0,0,0,5,0,0,0,0,30,0,0.0
Sunyani West,0,56,0,0,0,0,14,0,0,0,0,126,0,0.0
Tain,0,0,0,0,0,0,0,0,0,0,16,112,0,0.0
Talensi,18,8,0,0,36,0,30,0,8,0,0,0,620,6.0
Tamale North Sub Metro,0,42,12,0,6,0,12,0,0,6,0,0,683,0.0
Tano North,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Tano South,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Tarkwa Nsuaem,0,176,0,104,24,0,40,32,24,0,0,80,0,0.0
Tatale,0,64,0,0,112,0,0,0,0,0,0,0,2715,0.0
Techiman Municipal,0,0,0,0,0,0,12,0,0,0,0,138,0,0.0
Techiman North,0,0,0,0,0,0,6,0,0,0,0,0,0,0.0
Tema Metropolis,0,10,0,0,0,0,0,0,0,0,0,0,0,0.0
Tolon,0,6,0,18,6,0,6,0,0,0,12,0,12,0.0
Twifo Ati-Morkwa,26,143,0,0,0,13,0,0,13,65,0,0,0,0.0
Twifo Lower Denkyira,0,169,0,0,13,0,39,0,0,0,0,0,0,0.0
Upper Denkyira East,0,0,0,0,0,0,0,0,0,0,0,858,0,0.0
Upper Denkyira West,0,27,0,270,0,54,18,0,108,45,0,234,0,0.0
Upper Manya,0,151,0,0,24,0,0,0,0,0,0,60,0,0.0
Upper West Akim,0,0,0,0,0,0,0,0,120,0,0,60,0,0.0
Wa East,0,0,85,0,17,0,51,0,0,0,0,0,0,0.0
Wa Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Wa West,0,35,0,0,0,0,0,0,0,0,0,7,14,0.0
Wassa Amenfi Central,6,0,0,0,0,6,14,0,0,0,0,72,0,0.0
Wassa Amenfi East,0,24,0,0,0,207,0,0,24,72,0,63,0,0.0
Wassa Amenfi West,0,16,0,0,6,0,42,0,0,6,0,30,0,0.0
Wassa East,270,108,0,0,90,18,18,0,0,0,0,378,0,0.0
Wenchi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
West Akim,0,39,0,0,0,0,54,0,30,0,0,0,0,0.0
West Gonja,0,22,11,0,11,0,0,0,0,0,0,0,22,0.0
West Mamprusi,125,243,165,155,50,142,10,26,16,0,206,76,1215,140.0
Yendi Municipal,13,13,845,14,0,13,39,0,0,0,13,104,52,26.0
Yilo Krobo,0,35,0,0,0,0,0,0,0,0,0,105,0,0.0
Zabzugu,0,110,112,0,32,16,0,0,0,0,0,0,1173,16.0
