Region,Crops Impacted
West Mamprusi,59.25
Savelugu Nanton,54.65
East Gonja,42.09
Kumbumgu,38.49
Mamprugu Moagduri,29.48
Kwahu Afram Plains North,23.58
Pru,21.96
Saboba,20.38
Karaga,18.69
Kpandai,16.83
Tolon,13.25
Krachi East,13.17
Kwahu Afram Plains South,11.1
Chereponi,10.78
Nanumba North,10.16
Sene East,10.14
Krachi Nchumuru,9.71
Builsa South,7.43
Gonja Central,7.22
North Gonja,6.48
Kintampo North,5.72
Krachi West,5.72
Ada West,4.87
Kasena Nankana East,4.7
Kasena Nankana East,4.7
Kasena Nankana East,4.7
Nanumba South,3.67
Nkwanta North,3.59
Bole,3.53
Mion,3.24
Mion,3.24
Ketu South,3.02
Fanteakwa,2.98
Banda,2.98
Yendi Municipal,2.76
Lawra,2.62
Sene West,2.43
Ada East,2.37
Upper Manya,2.03
Biakoye,1.94
Kwahu South,1.73
Kwahu South,1.73
Kwahu South,1.73
Tamale North Sub Metro,1.51
Asante Akim North,1.49
Nadowli / Kaleo,1.44
Binduri,1.33
Jirapa,1.24
Bawku West,1.14
Garu Tempane,1.13
Keta Municipal,1.1
Bunkpurugu Yonyo,0.96
Wa West,0.92
Nkwanta South,0.88
Talensi,0.88
Kasena Nankana West,0.85
Kasena Nankana West,0.85
Wa East,0.8
Sissala East,0.79
South Tongu,0.76
Nandom,0.66
Amansie West,0.65
Ketu North,0.62
Shai Osu Doku,0.62
Central Tongu,0.58
Builsa North,0.58
Bongo,0.57
Ga South,0.57
Zabzugu,0.54
Atwima Mponua,0.53
North Tongu,0.51
West Gonja,0.5
South Dayi,0.42
Tatale,0.42
Bolgatanga Municipal,0.38
Asuogyaman,0.35
Wassa East,0.33
Atiwa,0.31
Tarkwa Nsuaem,0.3
Ekumfi,0.29
Gushiegu,0.27
Mamprusi East,0.26
Upper Denkyira West,0.24
Bawku Municipal,0.23
Akatsi South,0.22
Sawla / Tuna / Kalba,0.22
Kpone Katamanso,0.22
Prestea / Huni Valley,0.21
Effutu,0.21
Afadzato South,0.2
Wassa Amenfi East,0.19
North Dayi,0.17
Lambussie Karni,0.17
Obuasi Municipal,0.17
Ningo Prampram,0.16
Sefwi Bibiani / Anhwiaso Bekwai,0.15
Nzema East,0.15
Wassa Amenfi Central,0.13
Sissala  West,0.13
Kpando Municipal,0.12
Kwahu East,0.12
Jomoro,0.11
Wa Municipal,0.1
Amansie Central,0.1
Pusiga,0.1
Denkyembour,0.09
Lower Manya,0.08
Adenta,0.08
Awutu Senya West,0.08
Awutu Senya West,0.08
Ahanta West,0.07
Wassa Amenfi West,0.07
Atebubu Amantin,0.07
Asutifi North,0.07
Adansi South,0.07
Assin North,0.07
Kintampo South,0.06
Yilo Krobo,0.06
Twifo Ati-Morkwa,0.06
Adaklu,0.05
Birim North,0.05
Mfantsiman,0.05
Awutu Senya East Municipal,0.05
Shama,0.04
Akatsi North,0.04
Daffiama Bussie,0.03
Sagnerigu,0.03
Atwima Kwanwoma,0.03
Nabdam,0.03
Gomoa West,0.03
Aowin,0.02
Kwaebibirem,0.02
West Akim,0.02
Ga West,0.02
Gomoa East,0.02
Upper Denkyira East,0.02
Agona East,0.02
Birim Municipal,0.01
Nsawam Adoagyiri,0.01
Akwapem South,0.01
Kwahu West,0.01
Bosome Freho,0.01
Bosome Freho,0.01
Asante Akim Central Municipal,0.01
Bosomtwe / Atwima / Kwanwoma,0.01
Ahafo Ano South,0.01
Ejura Sekye Dumase,0.01
Atwima Nwabiagya,0.01
Bekwai Municipal,0.01
Tema Metropolis,0.01
La Nkwantanang Madina,0.01
Komenda Edna Eguafo / Abirem,0.01
Sefwi-Wiawso,0
Juabeso,0
Bia East,0
Suaman,0
Bia West,0
Bodi,0
Sefwi Akontombra,0
Sekondi Takoradi,0
Ellembelle,0
Mpohor,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Techiman North,0
Ho Municipal,0
Ho West,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
Ho West,0
Hohoe Municipal,0
Asunafo North,0
Asunafo South,0
Asutifi South,0
Tano South,0
Tano North,0
Kadjebi,0
Jasikan,0
Kadjebi,0
Akwapem North,0
Upper West Akim,0
Ayensuano,0
East Akim,0
Birim South,0
Suhum Municipal,0
Akyem Mansa,0
New Juaben Municipal,0
Asokore Mampong Municipal,0
Kwabre,0
Asante Akim South,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Sekyere East,0
Offinso North,0
Ejisu Juaben,0
Adansi North,0
Sekyere Central,0
Sekyere Afram Plains North,0
Ahafo Ano North,0
Kma,0
Offinso Municipal,0
Afigya Kwabre,0
Ledzokuku / Krowor,0
Accra Metropolis,0
Ga Central Municipal,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Assin South,0
Ajumako / Enyan / Esiam,0
Abura / Asebu / Kwamankese,0
Agona West,0
Cape Coast Metro,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Sunyani West,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Wenchi,0
Sunyani Municipal,0
Tain,0
