Region,Crops Impacted
West Mamprusi,86.98
Savelugu Nanton,70.63
East Gonja,58.97
Kumbumgu,52.46
Mamprugu Moagduri,47.09
Saboba,33.28
Kwahu Afram Plains North,30.53
Pru,28.83
Karaga,28.24
Kpandai,22.36
Tolon,21.43
Krachi East,19.16
Chereponi,15.71
Kwahu Afram Plains South,15.41
Sene East,14.67
Krachi Nchumuru,13.01
Builsa South,13
Nanumba North,12.09
North Gonja,11.43
Gonja Central,10.36
Kasena Nankana East,9.99
Kasena Nankana East,9.99
Kasena Nankana East,9.99
Krachi West,8.7
Kintampo North,7.56
Nkwanta North,5.77
Nanumba South,5.57
Bole,5.41
Ada West,5.14
Mion,4.79
Mion,4.79
Lawra,4.61
Yendi Municipal,4.51
Banda,4.4
Talensi,4.33
Tamale North Sub Metro,4.29
Fanteakwa,4.05
Sene West,3.74
Ketu South,3.35
Asante Akim North,2.98
Biakoye,2.84
Upper Manya,2.72
Nadowli / Kaleo,2.69
Ada East,2.64
Binduri,2.61
Kwahu South,2.33
Kwahu South,2.33
Kwahu South,2.33
Garu Tempane,2.1
Jirapa,1.88
South Tongu,1.84
Bawku West,1.8
Wa West,1.73
Bunkpurugu Yonyo,1.73
Nkwanta South,1.66
Sissala East,1.59
Keta Municipal,1.53
Shai Osu Doku,1.27
Amansie West,1.15
Zabzugu,1.1
Kasena Nankana West,1.08
Kasena Nankana West,1.08
Ketu North,1.04
North Tongu,1.03
Wa East,0.95
Nandom,0.93
Builsa North,0.9
Central Tongu,0.87
Tatale,0.83
Atwima Mponua,0.8
Atiwa,0.77
West Gonja,0.73
Bolgatanga Municipal,0.7
Ga South,0.67
Bongo,0.64
Mamprusi East,0.61
South Dayi,0.57
Akatsi South,0.52
Gushiegu,0.48
Sawla / Tuna / Kalba,0.46
Asuogyaman,0.44
Wassa Amenfi East,0.43
Atebubu Amantin,0.39
Tarkwa Nsuaem,0.38
Afadzato South,0.38
Upper Denkyira West,0.38
Ekumfi,0.35
Wassa East,0.34
Wassa Amenfi Central,0.32
Bawku Municipal,0.3
Kpone Katamanso,0.3
Prestea / Huni Valley,0.29
Ningo Prampram,0.29
North Dayi,0.26
Nzema East,0.25
Kwahu East,0.25
Obuasi Municipal,0.25
Jomoro,0.24
Lambussie Karni,0.24
Effutu,0.23
Sefwi Bibiani / Anhwiaso Bekwai,0.21
Amansie Central,0.21
Wassa Amenfi West,0.19
Kpando Municipal,0.18
Sissala  West,0.15
Pusiga,0.13
Awutu Senya West,0.13
Awutu Senya West,0.13
Wa Municipal,0.12
Denkyembour,0.12
Lower Manya,0.11
Birim North,0.11
Adansi South,0.11
Asutifi North,0.1
Adenta,0.1
Ga West,0.1
Assin North,0.1
Ellembelle,0.08
Kintampo South,0.08
Twifo Ati-Morkwa,0.08
Ahanta West,0.07
Awutu Senya East Municipal,0.07
Akatsi North,0.06
Adaklu,0.06
Yilo Krobo,0.06
Atwima Nwabiagya,0.06
Nabdam,0.06
Mfantsiman,0.06
Shama,0.05
Daffiama Bussie,0.05
Atwima Kwanwoma,0.05
Ejura Sekye Dumase,0.05
Gomoa West,0.05
Kwaebibirem,0.04
West Akim,0.04
Nsawam Adoagyiri,0.04
Sagnerigu,0.04
Aowin,0.03
Bosome Freho,0.03
Bosome Freho,0.03
Asante Akim Central Municipal,0.03
Sekyere Central,0.03
Gomoa East,0.03
Upper Denkyira East,0.03
Birim Municipal,0.02
East Akim,0.02
Akwapem South,0.02
Kwahu West,0.02
Ejisu Juaben,0.02
Ahafo Ano North,0.02
Ahafo Ano South,0.02
Bekwai Municipal,0.02
Tema Metropolis,0.02
Ajumako / Enyan / Esiam,0.02
Agona East,0.02
Nkoranza North,0.01
Ho Municipal,0.01
Ho Municipal,0.01
Agotime Ziope,0.01
Ho Municipal,0.01
Asutifi South,0.01
Ayensuano,0.01
Suhum Municipal,0.01
New Juaben Municipal,0.01
Asante Akim South,0.01
Bosomtwe / Atwima / Kwanwoma,0.01
Afigya Kwabre,0.01
La Nkwantanang Madina,0.01
Accra Metropolis,0.01
Komenda Edna Eguafo / Abirem,0.01
Cape Coast Metro,0.01
Wenchi,0.01
Tain,0.01
Sefwi-Wiawso,0
Juabeso,0
Bia East,0
Suaman,0
Bia West,0
Bodi,0
Sefwi Akontombra,0
Sekondi Takoradi,0
Mpohor,0
Techiman Municipal,0
Nkoranza South,0
Techiman North,0
Ho West,0
Ho West,0
Hohoe Municipal,0
Asunafo North,0
Asunafo South,0
Tano South,0
Tano North,0
Kadjebi,0
Jasikan,0
Kadjebi,0
Akwapem North,0
Upper West Akim,0
Birim South,0
Akyem Mansa,0
Asokore Mampong Municipal,0
Kwabre,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Sekyere East,0
Offinso North,0
Adansi North,0
Sekyere Afram Plains North,0
Kma,0
Offinso Municipal,0
Ledzokuku / Krowor,0
Ga Central Municipal,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Assin South,0
Abura / Asebu / Kwamankese,0
Agona West,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Sunyani West,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Sunyani Municipal,0
