Region,Roads Impacted
West Mamprusi,29704
Chereponi,28537
Saboba,14545
Krachi Nchumuru,12123
Kumbumgu,9905
Gonja Central,8981
Savelugu Nanton,5244
Karaga,3440
North Gonja,2691
Kasena Nankana East,2376
Kasena Nankana East,2376
Kasena Nankana East,2376
Tolon,2099
Kpandai,1997
West Gonja,1899
Tarkwa Nsuaem,1560
Bunkpurugu Yonyo,1413
Sene West,1290
Nanumba North,1197
Bawku West,890
Yendi Municipal,848
Mion,773
Mion,773
Kwahu Afram Plains South,760
Kwabre,760
Kwahu Afram Plains North,720
Mamprusi East,707
Sagnerigu,650
Ketu South,615
Asunafo North,600
Garu Tempane,590
Kwahu South,570
Kwahu South,570
Kwahu South,570
Bawku Municipal,553
Fanteakwa,540
Krachi East,470
Aowin,460
Krachi West,460
Upper Denkyira West,440
Atwima Nwabiagya,370
Kwahu East,350
Zabzugu,350
Bolgatanga Municipal,300
Sene East,290
Asutifi South,280
Bongo,231
Asante Akim North,180
Juabeso,170
Nkwanta North,170
Lawra,143
Kintampo North,131
Mamprugu Moagduri,131
East Gonja,120
Kma,120
Nkwanta South,90
Keta Municipal,85
Komenda Edna Eguafo / Abirem,83
Bodi,80
Sissala East,80
Cape Coast Metro,77
Upper Manya,70
Bole,69
Gushiegu,60
South Dayi,50
Talensi,50
Nanumba South,40
Kpando Municipal,30
Afadzato South,30
Pusiga,30
Suaman,10
Builsa North,10
Sefwi Bibiani / Anhwiaso Bekwai,0
Sefwi-Wiawso,0
Bia East,0
Bia West,0
Sefwi Akontombra,0
Nzema East,0
Wassa Amenfi Central,0
Ahanta West,0
Wassa Amenfi East,0
Wassa East,0
Sekondi Takoradi,0
Jomoro,0
Shama,0
Wassa Amenfi West,0
Ellembelle,0
Prestea / Huni Valley,0
Mpohor,0
Kintampo South,0
Techiman Municipal,0
Pru,0
Nkoranza South,0
Nkoranza North,0
Atebubu Amantin,0
Techiman North,0
Ho Municipal,0
Ho West,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
South Tongu,0
Central Tongu,0
Ho West,0
Akatsi North,0
Ketu North,0
Hohoe Municipal,0
North Dayi,0
North Tongu,0
Akatsi South,0
Adaklu,0
Asunafo South,0
Asutifi North,0
Tano South,0
Tano North,0
Kadjebi,0
Jasikan,0
Kadjebi,0
Biakoye,0
Nadowli / Kaleo,0
Jirapa,0
Nandom,0
Sissala  West,0
Lambussie Karni,0
Wa West,0
Wa East,0
Daffiama Bussie,0
Wa Municipal,0
Sawla / Tuna / Kalba,0
Denkyembour,0
Kwaebibirem,0
Yilo Krobo,0
Akwapem North,0
Upper West Akim,0
Birim Municipal,0
Lower Manya,0
Ayensuano,0
East Akim,0
Birim South,0
West Akim,0
Atiwa,0
Asuogyaman,0
Nsawam Adoagyiri,0
Suhum Municipal,0
Akyem Mansa,0
Akwapem South,0
New Juaben Municipal,0
Birim North,0
Kwahu West,0
Tatale,0
Tamale North Sub Metro,0
Asokore Mampong Municipal,0
Bosome Freho,0
Asante Akim South,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Bosome Freho,0
Asante Akim Central Municipal,0
Sekyere East,0
Offinso North,0
Ejisu Juaben,0
Adansi North,0
Amansie Central,0
Obuasi Municipal,0
Sekyere Central,0
Sekyere Afram Plains North,0
Amansie West,0
Ahafo Ano North,0
Bosomtwe / Atwima / Kwanwoma,0
Atwima Kwanwoma,0
Offinso Municipal,0
Ahafo Ano South,0
Ejura Sekye Dumase,0
Adansi South,0
Atwima Mponua,0
Bekwai Municipal,0
Afigya Kwabre,0
Kasena Nankana West,0
Builsa South,0
Binduri,0
Kasena Nankana West,0
Nabdam,0
Ledzokuku / Krowor,0
Adenta,0
Kpone Katamanso,0
Tema Metropolis,0
La Nkwantanang Madina,0
Shai Osu Doku,0
Ada West,0
Accra Metropolis,0
Ga Central Municipal,0
Ga South,0
Ningo Prampram,0
Ada East,0
Ga West,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Assin South,0
Ajumako / Enyan / Esiam,0
Twifo Ati-Morkwa,0
Abura / Asebu / Kwamankese,0
Agona West,0
Awutu Senya West,0
Gomoa West,0
Mfantsiman,0
Effutu,0
Ekumfi,0
Gomoa East,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Upper Denkyira East,0
Awutu Senya West,0
Assin North,0
Agona East,0
Awutu Senya East Municipal,0
Banda,0
Sunyani West,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Wenchi,0
Sunyani Municipal,0
Tain,0
